,Sharpness,Contrast,NIQE,BRISQUE
1.5to2.3,23.15,72.96,24.39,17.47
1.5to2.4,23.57,72.37,25.05,20.04
1.5to2.5,23.45,66.41,19.29,9.06
1.5to2.6,23.61,63.55,24.85,14.33
1.5to2.7,22.75,58.83,20.93,19.79
1.5to2.8,20.33,51.1,19.13,26.98
1.5to2.9,18.93,44.47,16.19,31.5
1.5to3.0,16.61,36.33,19.26,21.61
1.6to0.1,8.98,13.78,18.69,37.14
1.6to0.2,8.31,28.02,28.94,24.31
1.6to0.3,7.55,28.81,18.91,11.51
1.6to0.4,7.26,32.07,27.05,1.78
1.6to0.5,7.37,31.52,16.54,11.36
1.6to0.6,7.79,35.7,11.29,16.87
1.6to0.7,11.9,38.69,16.99,31.99
1.6to0.8,12.75,42.44,14.57,28.88
1.6to0.9,13.45,43.03,14.87,31.14
1.6to1.0,13.38,44.58,14.83,20.7
1.6to1.1,15.14,48.53,14.76,33.13
1.6to1.2,14.35,48.23,17.18,26.78
1.6to1.3,16.29,52.44,15.81,30.25
1.6to1.4,16.86,52.99,20.67,26.6
1.6to1.5,17.21,54.47,14.62,22.21
1.6to1.6,19.27,57.89,17.99,11.97
1.6to1.7,19.54,59.19,16.3,17.89
1.6to1.8,20.63,59.96,16.69,10.65
1.6to1.9,21.62,62.53,17.91,8.22
1.6to2.0,22.05,62.07,19.44,6.68
1.6to2.1,22.53,62.87,19.31,4.26
1.6to2.2,23.03,62.61,24.93,-1.38
1.6to2.3,22.76,61.25,20.37,4.51
1.6to2.4,23.67,63.65,19.41,3.55
1.6to2.5,23.87,62.61,21.58,2.89
1.6to2.6,23.96,60.75,26.0,5.27
1.6to2.7,23.97,58.47,25.48,0.45
1.6to2.8,22.83,54.6,24.59,6.96
1.6to2.9,22.51,50.94,25.41,6.73
1.6to3.0,19.36,41.61,27.49,7.61
1.7to0.1,12.18,18.58,23.17,35.02
1.7to0.2,13.16,33.02,36.68,38.07
1.7to0.3,11.7,30.51,20.39,35.89
1.7to0.4,11.74,31.99,13.48,35.11
1.7to0.5,11.56,34.35,21.93,39.82
1.7to0.6,11.38,36.83,10.75,29.07
1.7to0.7,11.45,37.91,15.56,35.43
1.7to0.8,12.33,41.41,18.72,32.04
1.7to0.9,12.87,40.75,16.91,31.92
1.7to1.0,12.92,41.3,15.86,30.67
1.7to1.1,14.65,46.14,16.33,30.19
1.7to1.2,14.72,48.01,18.61,26.38
1.7to1.3,16.16,52.54,12.93,27.8
1.7to1.4,16.34,52.55,16.7,26.38
1.7to1.5,16.99,54.04,20.89,26.0
1.7to1.6,17.58,54.6,20.21,18.97
1.7to1.7,19.42,57.76,17.42,15.51
1.7to1.8,19.64,59.26,21.99,9.05
1.7to1.9,20.75,60.36,15.24,7.98
1.7to2.0,21.12,59.65,25.84,12.18
1.7to2.1,21.47,60.25,24.39,2.8
1.7to2.2,22.07,61.6,27.73,2.99
1.7to2.3,22.28,60.41,24.23,3.52
1.7to2.4,22.97,60.36,26.65,-4.32
1.7to2.5,22.92,61.15,23.38,6.98
1.7to2.6,23.04,59.59,26.43,-4.2
1.7to2.7,23.15,57.5,33.45,10.15
1.7to2.8,21.52,51.7,23.41,8.49
1.7to2.9,20.64,48.48,24.54,8.59
1.7to3.0,18.52,41.21,31.91,9.2
1.8to0.1,11.43,16.27,27.85,30.3
1.8to0.2,12.77,31.27,22.21,38.3
1.8to0.3,11.62,32.75,22.36,35.14
1.8to0.4,11.21,32.39,21.02,31.15
1.8to0.5,11.57,35.5,14.79,35.19
1.8to0.6,10.86,36.8,18.19,35.98
