,Sharpness,Contrast,NIQE,BRISQUE
0.1to0.1,8.97,48.37,13.38,57.57
0.1to0.2,4.08,23.81,71.52,40.8
0.1to0.3,3.94,23.13,58.58,39.77
0.1to0.4,4.27,26.12,73.89,40.87
0.1to0.5,4.79,28.96,61.97,42.63
0.1to0.6,4.72,29.24,82.75,49.4
0.1to0.7,3.98,25.52,61.48,47.67
0.1to0.8,3.73,23.61,61.1,42.12
0.1to0.9,3.55,21.23,63.63,47.93
0.1to1.0,3.63,22.09,79.42,49.55
0.1to1.1,3.35,21.33,56.75,46.91
0.1to1.2,2.96,18.15,81.89,45.39
0.1to1.3,2.95,17.2,74.21,48.9
0.1to1.4,2.44,14.27,67.27,44.54
0.1to1.5,2.45,14.48,69.3,46.87
0.1to1.6,2.41,13.14,54.32,49.67
0.1to1.7,1.89,10.49,63.78,50.59
0.1to1.8,1.94,10.28,53.74,35.32
0.1to1.9,1.59,7.24,64.32,51.52
0.1to2.0,1.7,7.72,52.88,53.75
0.1to2.1,1.52,7.01,54.97,49.93
0.1to2.2,1.4,5.95,48.53,59.04
0.1to2.3,1.47,6.49,60.52,52.48
0.1to2.4,1.43,6.55,29.9,49.45
0.1to2.5,1.69,8.82,46.85,46.31
0.1to2.6,1.71,8.69,44.06,42.94
0.1to2.7,2.02,8.69,50.41,49.64
0.1to2.8,2.0,9.03,69.85,44.05
0.1to2.9,2.4,10.94,52.53,48.32
0.1to3.0,2.73,13.33,71.93,51.82
0.2to0.1,4.58,19.81,20.16,50.7
0.2to0.2,9.02,47.25,16.87,55.0
0.2to0.3,7.33,40.95,19.45,61.7
0.2to0.4,8.9,43.14,27.55,64.11
0.2to0.5,7.51,39.46,58.37,57.34
0.2to0.6,7.88,40.44,45.02,57.09
0.2to0.7,5.89,30.97,36.17,44.98
0.2to0.8,6.31,31.27,44.68,44.48
0.2to0.9,6.19,31.87,49.65,43.57
0.2to1.0,7.1,33.07,57.98,50.83
0.2to1.1,7.31,35.24,61.3,47.57
0.2to1.2,6.9,33.9,65.83,50.39
0.2to1.3,7.25,33.28,55.81,46.41
0.2to1.4,7.4,34.69,76.59,52.59
0.2to1.5,7.42,35.27,55.91,52.1
0.2to1.6,7.21,35.21,79.26,47.11
0.2to1.7,9.96,38.53,75.47,57.0
0.2to1.8,8.92,38.64,81.18,56.14
0.2to1.9,11.29,40.5,80.07,52.35
0.2to2.0,10.25,39.93,78.66,55.88
0.2to2.1,10.8,41.68,72.4,53.2
0.2to2.2,10.89,40.64,72.08,50.31
0.2to2.3,11.75,41.82,50.12,56.68
0.2to2.4,11.84,42.86,77.5,53.01
0.2to2.5,12.0,42.78,86.63,56.85
0.2to2.6,12.81,44.3,70.26,54.87
0.2to2.7,12.58,42.15,81.97,55.97
0.2to2.8,12.76,41.54,62.82,56.06
0.2to2.9,11.94,37.79,78.37,56.81
0.2to3.0,8.96,27.37,77.72,51.26
0.3to0.1,5.21,14.82,39.47,51.52
0.3to0.2,5.53,40.19,21.3,44.96
0.3to0.3,9.38,47.76,16.18,51.98
0.3to0.4,12.09,55.3,19.74,63.41
0.3to0.5,12.69,57.4,22.2,55.02
0.3to0.6,12.04,51.58,31.95,57.78
0.3to0.7,11.4,50.25,20.61,48.17
0.3to0.8,11.43,47.96,34.09,55.4
0.3to0.9,11.96,49.17,34.96,59.84
0.3to1.0,11.69,45.93,37.44,53.77
0.3to1.1,11.62,44.07,29.3,53.55
0.3to1.2,11.32,43.72,52.07,51.69
0.3to1.3,11.38,43.67,27.05,51.68
0.3to1.4,11.33,44.43,38.67,50.13
0.3to1.5,10.92,43.44,30.67,56.03
0.3to1.6,10.71,41.49,31.19,51.69
0.3to1.7,11.03,43.94,26.38,53.08
0.3to1.8,10.22,39.32,35.93,52.58
0.3to1.9,10.11,39.07,42.17,49.23
0.3to2.0,9.85,39.54,46.39,51.62
0.3to2.1,10.42,39.7,34.6,50.71
0.3to2.2,9.84,42.0,41.78,46.91
0.3to2.3,10.19,43.21,37.88,44.68
0.3to2.4,10.15,41.4,52.92,48.64
0.3to2.5,10.82,42.83,49.67,47.52
0.3to2.6,9.45,37.93,47.17,47.32
0.3to2.7,9.97,35.45,42.16,39.97
0.3to2.8,10.27,32.55,51.14,45.06
0.3to2.9,9.92,30.43,33.69,50.79
0.3to3.0,9.29,25.45,80.83,51.66
0.4to0.1,5.13,13.72,20.16,47.21
0.4to0.2,6.48,38.21,26.82,44.52
0.4to0.3,5.03,36.84,20.26,46.13
0.4to0.4,9.08,46.99,13.33,54.91
0.4to0.5,11.24,51.15,23.01,61.57
0.4to0.6,10.71,48.33,42.37,55.24
0.4to0.7,10.75,47.54,35.96,57.05
0.4to0.8,10.23,45.6,27.33,44.85
0.4to0.9,10.9,46.5,33.82,50.77
0.4to1.0,10.85,44.58,23.67,52.69
0.4to1.1,10.75,47.67,17.3,54.89
0.4to1.2,10.74,43.45,24.63,55.68
0.4to1.3,11.99,48.76,25.65,51.31
0.4to1.4,11.79,48.39,21.65,52.71
0.4to1.5,11.52,44.27,40.09,50.35
0.4to1.6,11.66,44.68,31.55,49.46
0.4to1.7,11.42,43.46,27.24,54.78
0.4to1.8,11.97,46.97,29.6,48.56
0.4to1.9,11.03,42.62,22.36,49.33
0.4to2.0,11.26,41.84,29.67,47.68
0.4to2.1,11.74,46.21,31.7,46.28
0.4to2.2,12.05,45.3,56.99,48.29
0.4to2.3,11.11,43.24,25.93,45.36
0.4to2.4,11.06,42.17,24.02,45.56
0.4to2.5,11.64,45.49,44.67,38.01
0.4to2.6,11.01,40.78,40.56,45.63
0.4to2.7,11.86,41.17,32.29,42.98
0.4to2.8,11.37,37.32,47.32,41.51
0.4to2.9,11.57,36.25,38.33,44.87
0.4to3.0,10.63,32.35,50.64,41.93
0.5to0.1,4.03,10.58,26.6,36.68
0.5to0.2,6.75,38.65,80.47,47.0
0.5to0.3,4.81,33.2,23.13,27.8
0.5to0.4,5.88,39.22,15.19,55.18
0.5to0.5,9.04,47.15,14.12,57.36
0.5to0.6,10.65,48.78,28.04,59.35
0.5to0.7,11.82,50.54,15.78,55.19
0.5to0.8,13.17,50.36,17.91,57.03
0.5to0.9,13.8,53.46,22.92,54.88
0.5to1.0,13.69,50.74,19.55,56.72
0.5to1.1,14.15,53.12,24.15,55.03
0.5to1.2,14.61,54.08,36.05,50.01
0.5to1.3,14.84,53.13,19.49,52.97
0.5to1.4,15.14,54.82,35.82,47.5
0.5to1.5,14.68,54.44,25.38,52.45
0.5to1.6,15.02,53.43,38.53,55.17
0.5to1.7,15.49,55.73,29.84,48.56
0.5to1.8,15.66,55.19,24.08,52.51
0.5to1.9,16.37,56.44,33.01,48.82
0.5to2.0,15.63,55.6,40.4,49.79
0.5to2.1,16.01,56.01,29.91,48.13
0.5to2.2,15.94,56.05,28.34,44.12
0.5to2.3,16.27,55.84,28.23,46.82
0.5to2.4,16.41,57.06,26.37,42.42
0.5to2.5,16.89,58.01,28.62,47.12
0.5to2.6,16.84,59.24,44.35,43.53
0.5to2.7,17.25,58.07,35.63,42.71
0.5to2.8,17.48,58.62,32.76,43.16
0.5to2.9,16.92,56.41,52.83,44.44
0.5to3.0,16.66,54.04,48.77,38.44
0.6to0.1,4.44,10.32,41.99,42.91
0.6to0.2,7.43,38.92,39.61,47.53
0.6to0.3,5.29,35.88,29.03,26.21
0.6to0.4,5.16,38.44,20.37,36.64
0.6to0.5,7.4,44.66,27.24,59.59
0.6to0.6,9.24,46.95,14.8,58.57
0.6to0.7,10.09,50.55,25.67,50.65
0.6to0.8,11.15,50.63,43.02,50.98
0.6to0.9,11.73,47.8,26.6,51.16
0.6to1.0,11.9,47.78,28.51,50.37
0.6to1.1,12.92,53.42,35.67,47.4
0.6to1.2,12.48,51.4,21.82,45.32
0.6to1.3,14.4,54.96,34.38,48.69
0.6to1.4,14.41,55.6,47.57,44.75
0.6to1.5,14.04,54.43,30.18,44.58
0.6to1.6,14.14,59.1,52.78,38.86
0.6to1.7,18.21,72.65,38.41,31.94
0.6to1.8,17.83,71.3,27.07,25.78
0.6to1.9,18.75,74.17,27.8,35.29
0.6to2.0,18.75,73.62,30.51,34.51
0.6to2.1,19.15,75.06,25.07,31.02
0.6to2.2,19.59,76.99,33.09,27.35
0.6to2.3,19.38,77.75,28.54,31.67
0.6to2.4,19.27,75.5,49.59,36.37
0.6to2.5,19.35,72.87,36.38,32.38
0.6to2.6,19.44,70.18,39.62,31.47
0.6to2.7,18.22,63.9,27.1,24.72
0.6to2.8,16.74,55.3,24.98,29.37
0.6to2.9,14.94,48.46,44.06,32.43
0.6to3.0,12.74,40.97,30.57,41.36
0.7to0.1,3.47,8.69,70.3,34.12
0.7to0.2,5.41,39.31,65.21,32.99
0.7to0.3,4.8,33.9,23.57,43.8
0.7to0.4,4.36,32.29,30.02,48.61
0.7to0.5,5.4,36.04,11.55,65.92
0.7to0.6,7.16,41.99,12.35,71.04
0.7to0.7,8.97,47.86,13.49,59.09
0.7to0.8,10.35,51.8,28.81,49.65
0.7to0.9,11.56,52.81,29.22,47.59
0.7to1.0,12.62,56.82,30.03,43.25
0.7to1.1,13.96,60.61,34.98,38.11
0.7to1.2,14.39,61.89,27.03,37.35
0.7to1.3,15.29,63.8,29.19,28.44
0.7to1.4,15.22,64.76,33.03,29.01
0.7to1.5,15.78,65.77,34.94,27.85
0.7to1.6,16.5,67.56,34.72,24.2
0.7to1.7,17.43,70.55,38.45,22.21
0.7to1.8,17.52,70.66,43.3,25.16
0.7to1.9,18.2,73.33,30.02,25.19
0.7to2.0,18.17,73.24,33.05,24.66
0.7to2.1,18.53,74.99,26.65,24.89
0.7to2.2,19.21,75.86,30.25,19.46
0.7to2.3,19.05,77.15,32.32,23.91
0.7to2.4,19.01,75.3,24.91,26.69
0.7to2.5,18.88,70.77,26.27,25.85
0.7to2.6,18.63,68.38,28.97,24.56
0.7to2.7,17.82,63.76,25.95,24.98
0.7to2.8,16.19,53.94,23.32,25.85
0.7to2.9,13.53,46.22,33.54,24.11
0.7to3.0,11.95,39.58,28.87,36.81
0.8to0.1,2.71,8.26,50.18,19.09
0.8to0.2,4.05,33.4,20.52,32.51
0.8to0.3,3.71,31.8,15.3,37.96
0.8to0.4,3.8,32.28,22.54,50.67
0.8to0.5,5.02,35.17,15.57,73.64
0.8to0.6,6.37,40.26,17.35,76.81
0.8to0.7,7.31,43.8,23.14,67.6
0.8to0.8,9.02,48.26,14.08,59.02
0.8to0.9,9.7,49.03,27.48,55.0
0.8to1.0,10.94,53.51,33.18,52.0
0.8to1.1,12.2,56.87,27.03,41.5
0.8to1.2,12.97,59.21,32.02,37.99
0.8to1.3,13.92,62.1,33.1,32.5
0.8to1.4,14.18,62.72,31.17,31.91
0.8to1.5,14.73,64.26,30.13,27.47
0.8to1.6,15.27,66.26,27.66,27.44
0.8to1.7,16.19,69.49,27.47,27.86
0.8to1.8,16.25,69.16,36.35,24.41
0.8to1.9,16.91,71.55,25.21,18.96
0.8to2.0,17.22,70.88,34.1,20.48
0.8to2.1,17.55,73.05,21.82,21.57
0.8to2.2,18.42,75.3,20.3,19.08
0.8to2.3,18.52,75.57,27.66,18.64
0.8to2.4,18.53,74.09,21.64,20.94
0.8to2.5,17.33,68.63,27.6,23.63
0.8to2.6,17.26,65.6,23.34,24.64
0.8to2.7,16.24,60.46,31.53,28.92
0.8to2.8,13.97,50.49,30.57,20.18
0.8to2.9,12.12,43.04,33.32,24.22
0.8to3.0,10.29,35.24,32.81,28.29
0.9to0.1,2.39,7.28,61.06,19.71
0.9to0.2,3.43,21.86,15.59,41.86
0.9to0.3,3.09,26.2,19.81,41.26
0.9to0.4,3.31,28.06,16.13,56.73
0.9to0.5,4.67,34.02,13.34,73.07
0.9to0.6,5.91,39.59,19.21,77.32
0.9to0.7,6.68,42.16,18.19,72.46
0.9to0.8,7.82,45.68,25.05,62.94
0.9to0.9,9.04,48.33,14.05,57.26
0.9to1.0,9.88,51.41,25.28,56.03
0.9to1.1,11.05,54.55,32.18,54.05
0.9to1.2,11.56,56.4,32.05,47.45
0.9to1.3,12.55,59.45,24.29,40.72
0.9to1.4,12.84,60.26,24.61,37.74
0.9to1.5,13.44,61.63,33.74,33.91
0.9to1.6,13.87,63.23,28.63,34.95
0.9to1.7,14.82,66.55,26.56,28.45
0.9to1.8,14.79,65.72,23.28,28.87
0.9to1.9,15.68,68.77,23.33,23.46
0.9to2.0,15.76,68.84,30.07,24.86
0.9to2.1,16.08,69.92,24.1,22.88
0.9to2.2,16.88,72.29,32.4,23.42
0.9to2.3,16.88,72.28,42.04,20.32
0.9to2.4,16.83,70.51,28.06,22.38
0.9to2.5,15.47,64.84,37.46,21.91
0.9to2.6,15.13,61.06,36.81,18.32
0.9to2.7,13.84,56.08,33.15,21.02
0.9to2.8,11.77,46.04,29.53,21.84
0.9to2.9,10.34,39.37,31.45,24.67
0.9to3.0,8.72,32.53,27.71,26.14
1.0to0.1,2.08,6.48,47.42,19.6
1.0to0.2,2.78,24.13,17.81,27.43
1.0to0.3,2.87,26.66,22.11,43.01
1.0to0.4,3.39,30.76,25.75,61.03
1.0to0.5,4.32,33.68,14.73,76.65
1.0to0.6,5.26,37.16,16.07,78.41
1.0to0.7,6.0,39.35,16.63,71.52
1.0to0.8,7.04,42.87,24.9,67.91
1.0to0.9,7.83,44.87,27.95,63.12
1.0to1.0,9.01,48.34,13.02,56.45
1.0to1.1,9.82,51.53,31.17,53.87
1.0to1.2,10.42,53.42,37.25,52.92
1.0to1.3,11.21,56.24,35.95,48.8
1.0to1.4,11.44,56.44,29.85,39.46
1.0to1.5,11.99,58.23,30.53,39.9
1.0to1.6,12.3,59.3,27.34,35.57
1.0to1.7,13.11,62.03,22.74,29.43
1.0to1.8,13.13,61.57,21.36,27.87
1.0to1.9,13.76,63.98,20.9,27.37
1.0to2.0,13.88,63.85,30.99,19.51
1.0to2.1,14.24,65.53,25.7,22.69
1.0to2.2,14.83,67.41,46.88,22.79
1.0to2.3,14.77,66.95,29.44,19.25
1.0to2.4,14.51,65.13,44.48,22.92
1.0to2.5,13.41,59.89,23.35,21.55
