,Sharpness,Contrast,NIQE,BRISQUE
0.1to0.1,4.98,34.77,10.91,43.41
0.1to0.2,2.07,11.46,18.95,67.19
0.1to0.3,1.91,10.09,22.26,56.98
0.1to0.4,1.93,11.33,30.08,50.13
0.1to0.5,2.2,14.37,30.82,50.62
0.1to0.6,2.09,14.63,35.54,46.01
0.1to0.7,1.95,13.89,27.69,43.75
0.1to0.8,1.94,14.12,27.66,47.28
0.1to0.9,1.8,13.37,32.2,42.98
0.1to1.0,1.82,13.28,32.71,45.07
0.1to1.1,1.59,12.15,32.38,46.83
0.1to1.2,1.5,11.14,28.4,48.96
0.1to1.3,1.25,8.73,24.91,47.99
0.1to1.4,1.17,7.95,30.71,45.5
0.1to1.5,1.05,7.05,18.06,48.64
0.1to1.6,1.13,6.54,27.69,52.37
0.1to1.7,0.93,5.69,20.03,44.92
0.1to1.8,0.89,5.77,19.38,52.92
0.1to1.9,0.76,4.44,14.15,55.19
0.1to2.0,0.71,4.05,20.64,54.62
0.1to2.1,0.69,3.45,18.15,46.58
0.1to2.2,0.6,2.77,16.01,56.45
0.1to2.3,0.64,3.33,13.9,52.51
0.1to2.4,0.69,3.72,18.68,51.74
0.1to2.5,0.87,4.85,18.26,52.13
0.1to2.6,0.8,5.04,23.05,50.84
0.1to2.7,0.87,5.03,20.76,46.57
0.1to2.8,0.92,5.53,21.24,53.7
0.1to2.9,1.11,6.6,27.66,46.91
0.1to3.0,1.18,7.18,26.71,41.05
0.2to0.1,1.75,9.48,27.85,40.52
0.2to0.2,4.98,34.55,10.57,43.45
0.2to0.3,4.29,33.92,21.44,89.35
0.2to0.4,4.98,35.89,28.32,79.43
0.2to0.5,4.46,35.88,21.53,73.08
0.2to0.6,4.49,37.06,31.7,65.97
0.2to0.7,3.38,28.43,35.45,61.96
0.2to0.8,3.29,27.97,37.34,59.87
0.2to0.9,3.51,28.22,41.02,52.29
0.2to1.0,3.51,28.51,37.61,44.97
0.2to1.1,3.51,27.83,45.3,42.69
0.2to1.2,3.5,28.55,54.66,39.9
0.2to1.3,3.5,27.86,49.52,39.49
0.2to1.4,3.34,27.51,52.0,43.56
0.2to1.5,3.54,28.27,51.86,44.2
0.2to1.6,3.52,28.25,34.05,41.17
0.2to1.7,4.0,27.01,49.76,38.65
0.2to1.8,3.81,29.17,27.89,40.14
0.2to1.9,4.74,28.47,40.17,42.41
0.2to2.0,4.33,28.08,22.17,39.33
0.2to2.1,4.58,29.41,26.17,40.92
0.2to2.2,4.44,27.36,37.83,38.09
0.2to2.3,4.55,27.74,48.66,38.26
0.2to2.4,4.73,28.24,40.27,42.23
0.2to2.5,4.83,28.69,38.93,44.5
0.2to2.6,5.15,28.76,35.3,45.41
0.2to2.7,5.24,28.48,24.92,41.62
0.2to2.8,5.08,25.68,21.14,47.57
0.2to2.9,5.07,25.2,24.29,46.12
0.2to3.0,4.18,19.78,29.58,45.71
0.3to0.1,2.51,11.05,17.61,34.32
0.3to0.2,3.69,36.35,20.93,72.23
0.3to0.3,5.01,34.71,13.99,44.39
0.3to0.4,6.03,37.08,15.81,76.9
0.3to0.5,6.76,38.55,16.16,68.09
0.3to0.6,6.66,35.87,14.3,69.88
0.3to0.7,6.26,35.03,13.99,63.89
0.3to0.8,6.44,35.43,15.84,58.54
0.3to0.9,6.69,36.06,22.68,55.56
0.3to1.0,6.28,34.36,12.52,58.55
0.3to1.1,6.24,33.62,13.93,59.31
0.3to1.2,6.08,33.33,13.76,58.19
0.3to1.3,5.98,32.87,12.67,54.39
0.3to1.4,5.94,33.59,14.6,54.22
0.3to1.5,5.74,32.89,23.77,48.94
0.3to1.6,5.51,31.73,19.21,55.03
0.3to1.7,5.76,32.39,21.42,50.5
0.3to1.8,5.42,31.06,24.81,48.91
0.3to1.9,5.23,29.86,17.23,46.39
0.3to2.0,5.37,31.06,23.49,38.39
0.3to2.1,5.35,30.68,34.54,42.02
0.3to2.2,5.25,30.84,27.4,38.6
0.3to2.3,5.21,30.95,24.57,40.59
0.3to2.4,5.23,30.57,33.59,36.37
0.3to2.5,5.36,30.59,35.02,38.53
0.3to2.6,5.19,29.5,32.5,32.06
0.3to2.7,5.4,27.51,45.96,34.27
0.3to2.8,5.14,23.74,48.68,38.32
0.3to2.9,4.94,21.64,57.68,35.68
0.3to3.0,5.03,18.94,56.98,35.67
0.4to0.1,2.32,7.77,18.29,21.74
0.4to0.2,3.55,35.3,14.41,57.21
0.4to0.3,3.26,31.46,16.2,73.16
0.4to0.4,5.02,34.68,14.86,46.69
0.4to0.5,5.76,36.31,13.97,76.45
0.4to0.6,6.21,35.99,13.97,61.8
0.4to0.7,6.2,34.82,16.37,69.21
0.4to0.8,6.49,35.8,16.65,59.71
0.4to0.9,6.97,35.76,15.4,64.18
0.4to1.0,6.98,36.76,14.24,55.32
0.4to1.1,7.18,38.16,18.22,53.26
0.4to1.2,7.39,37.41,11.89,57.04
0.4to1.3,7.32,38.52,18.73,52.64
0.4to1.4,7.32,38.43,17.52,53.99
0.4to1.5,7.85,38.21,19.24,51.57
0.4to1.6,7.63,37.33,13.32,56.65
0.4to1.7,7.69,38.14,18.76,44.65
0.4to1.8,7.5,39.37,22.17,45.76
0.4to1.9,7.72,38.64,15.16,57.7
0.4to2.0,7.63,38.41,26.03,47.11
0.4to2.1,7.49,38.48,26.02,46.6
0.4to2.2,7.56,38.94,25.0,48.33
0.4to2.3,7.73,37.88,20.87,53.68
0.4to2.4,7.62,37.92,21.85,47.95
0.4to2.5,7.62,38.25,24.55,43.68
0.4to2.6,7.58,36.69,26.6,40.17
0.4to2.7,7.68,35.95,25.89,38.72
0.4to2.8,7.27,32.47,51.64,36.86
0.4to2.9,6.9,31.01,43.14,32.22
0.4to3.0,6.08,26.74,48.16,34.28
0.5to0.1,2.4,8.34,16.57,14.72
0.5to0.2,3.65,34.7,32.11,39.27
0.5to0.3,3.14,30.81,19.06,53.58
0.5to0.4,3.71,32.15,18.2,73.7
0.5to0.5,5.02,34.45,16.17,50.58
0.5to0.6,5.2,34.27,18.67,73.17
0.5to0.7,5.59,34.51,12.34,68.05
0.5to0.8,6.0,34.33,12.17,60.61
0.5to0.9,6.44,35.61,14.9,52.38
0.5to1.0,6.55,35.42,10.49,58.58
0.5to1.1,7.01,36.29,13.51,54.46
0.5to1.2,7.21,37.13,11.72,42.53
0.5to1.3,7.35,36.7,10.82,48.84
0.5to1.4,7.54,37.39,11.55,52.46
0.5to1.5,7.65,37.94,10.43,43.08
0.5to1.6,7.66,37.58,14.24,45.35
0.5to1.7,7.73,38.24,11.37,46.07
0.5to1.8,7.79,38.28,15.22,46.76
0.5to1.9,8.04,38.79,15.4,45.15
0.5to2.0,7.95,39.15,17.8,42.04
0.5to2.1,8.06,39.11,15.15,41.78
0.5to2.2,8.18,38.44,14.39,38.07
0.5to2.3,8.3,38.66,15.95,38.07
0.5to2.4,8.32,38.43,15.47,37.93
0.5to2.5,8.17,38.26,15.44,39.3
0.5to2.6,8.17,37.97,19.99,36.07
0.5to2.7,8.12,36.59,18.74,27.76
0.5to2.8,8.02,36.05,18.9,32.03
0.5to2.9,7.22,32.09,16.78,25.13
0.5to3.0,6.73,28.62,22.96,27.56
0.6to0.1,2.86,10.33,13.86,7.04
0.6to0.2,3.76,33.65,30.48,20.2
0.6to0.3,3.3,32.28,22.6,38.14
0.6to0.4,3.56,32.87,15.33,52.8
0.6to0.5,4.34,35.2,21.83,77.76
0.6to0.6,5.1,34.96,18.68,53.57
0.6to0.7,5.27,36.93,20.43,62.86
0.6to0.8,5.47,35.77,21.32,59.85
0.6to0.9,5.69,34.53,14.29,52.9
0.6to1.0,5.96,35.05,16.45,38.05
0.6to1.1,6.27,36.28,15.64,47.7
0.6to1.2,6.31,35.68,19.69,48.82
0.6to1.3,6.64,36.85,10.87,41.51
0.6to1.4,6.71,36.86,13.75,39.76
0.6to1.5,6.77,36.89,16.21,37.39
0.6to1.6,6.83,36.94,19.4,39.06
0.6to1.7,9.56,54.15,25.8,50.51
0.6to1.8,9.5,53.12,15.82,45.92
0.6to1.9,9.97,55.2,15.73,54.16
0.6to2.0,9.98,55.39,16.46,50.21
0.6to2.1,10.11,56.23,15.11,48.66
0.6to2.2,10.49,57.6,15.43,41.53
0.6to2.3,10.42,57.04,14.81,48.22
0.6to2.4,10.11,55.08,15.5,37.99
0.6to2.5,9.43,50.38,19.58,46.0
0.6to2.6,9.03,47.0,18.56,48.27
0.6to2.7,8.34,42.74,16.2,38.1
0.6to2.8,7.05,34.47,18.91,42.11
0.6to2.9,6.23,29.77,16.78,39.7
0.6to3.0,5.24,24.13,16.45,47.11
0.7to0.1,2.25,6.91,21.47,40.47
0.7to0.2,2.75,25.13,19.46,24.52
0.7to0.3,2.86,27.64,15.28,51.81
0.7to0.4,3.4,30.69,11.57,68.67
0.7to0.5,3.95,32.01,14.95,77.56
0.7to0.6,4.38,33.79,17.94,80.04
