,Sharpness,Contrast,NIQE,BRISQUE
0.2to1.8,14.45,46.74,17.19,48.92
0.2to1.9,16.4,45.94,18.17,53.4
0.2to2.0,15.14,46.9,19.27,50.29
0.2to2.1,15.1,47.09,15.27,50.19
0.2to2.2,16.41,47.69,16.27,49.34
0.2to2.3,16.81,46.74,17.47,56.47
0.2to2.4,15.65,45.86,14.07,50.49
0.2to2.5,15.99,45.72,17.76,50.45
0.2to2.6,16.92,45.96,15.61,44.98
0.2to2.7,16.54,43.3,22.72,49.47
0.2to2.8,16.56,43.68,15.09,44.27
0.2to2.9,16.07,40.57,15.09,53.17
0.2to3.0,12.9,29.62,14.13,38.55
0.3to0.1,12.63,27.25,33.15,32.98
0.3to0.2,12.03,40.1,20.16,30.36
0.3to0.3,17.25,61.84,12.26,28.27
0.3to0.4,17.08,70.49,17.83,28.72
0.3to0.5,17.49,75.35,14.51,39.96
0.3to0.6,17.76,75.0,19.63,46.76
0.3to0.7,17.45,72.92,17.75,34.16
0.3to0.8,17.39,71.36,17.91,35.45
0.3to0.9,18.33,72.95,19.32,40.97
0.3to1.0,17.38,70.66,24.3,42.1
0.3to1.1,17.35,70.81,29.33,38.22
0.3to1.2,17.19,67.7,26.94,36.56
0.3to1.3,17.76,72.49,21.75,49.24
0.3to1.4,18.06,75.14,18.04,39.7
0.3to1.5,17.83,75.06,21.62,37.93
0.3to1.6,17.16,66.33,20.48,39.75
0.3to1.7,16.68,76.18,34.7,32.93
0.3to1.8,17.03,66.94,17.46,32.25
0.3to1.9,16.03,71.37,34.49,32.61
0.3to2.0,16.46,66.41,20.74,32.13
0.3to2.1,17.07,66.18,23.99,41.04
0.3to2.2,16.89,70.44,22.03,33.11
0.3to2.3,16.48,68.85,17.93,33.0
0.3to2.4,16.54,69.1,19.67,30.49
0.3to2.5,16.57,70.01,36.13,33.66
0.3to2.6,15.32,58.96,15.25,28.2
0.3to2.7,15.46,59.64,19.88,23.6
0.3to2.8,14.69,50.31,18.0,28.27
0.3to2.9,13.66,40.04,20.99,23.83
0.3to3.0,13.52,31.75,37.78,15.36
0.4to0.1,13.37,28.89,49.94,30.06
0.4to0.2,12.46,35.16,29.69,17.57
0.4to0.3,12.54,43.95,16.71,29.32
0.4to0.4,17.18,62.36,14.57,29.58
0.4to0.5,17.56,69.74,12.81,34.29
0.4to0.6,17.04,67.57,13.95,32.77
0.4to0.7,17.24,74.13,12.01,39.08
0.4to0.8,17.47,73.88,22.46,36.4
0.4to0.9,17.31,68.45,15.42,39.64
0.4to1.0,17.51,70.21,19.93,45.78
0.4to1.1,17.36,75.34,26.46,38.92
0.4to1.2,16.47,68.09,19.44,31.88
0.4to1.3,16.77,73.31,58.1,30.39
0.4to1.4,17.39,73.53,22.02,46.31
0.4to1.5,17.15,71.16,39.95,23.94
0.4to1.6,16.86,72.3,47.99,37.09
0.4to1.7,16.86,72.67,49.63,23.75
0.4to1.8,16.83,74.89,47.42,33.17
0.4to1.9,16.46,71.81,52.74,27.11
0.4to2.0,16.65,72.74,37.36,41.23
0.4to2.1,18.09,70.25,25.28,37.18
0.4to2.2,16.82,72.48,35.83,29.35
0.4to2.3,16.54,72.23,38.99,32.0
0.4to2.4,16.54,68.73,59.34,24.29
0.4to2.5,17.45,72.14,54.56,22.6
0.4to2.6,16.38,65.09,24.23,15.02
0.4to2.7,16.74,62.84,43.87,41.3
0.4to2.8,16.72,58.3,20.74,11.48
0.4to2.9,17.5,51.97,18.55,19.04
0.4to3.0,15.27,40.91,15.77,23.15
0.5to0.1,12.84,29.18,51.29,18.45
0.5to0.2,12.88,35.78,14.62,28.75
0.5to0.3,11.6,36.91,15.11,25.46
0.5to0.4,12.23,45.08,16.07,27.05
0.5to0.5,17.02,62.23,18.35,24.98
0.5to0.6,18.49,66.78,12.83,33.26
0.5to0.7,19.97,71.0,14.73,30.66
0.5to0.8,21.24,78.14,36.61,24.85
0.5to0.9,22.04,76.0,25.85,30.36
0.5to1.0,21.54,76.02,15.29,28.62
0.5to1.1,21.89,81.4,30.12,30.79
0.5to1.2,22.29,78.73,11.6,32.85
0.5to1.3,22.36,85.52,21.47,31.28
0.5to1.4,22.57,84.22,24.04,28.19
0.5to1.5,22.29,86.9,41.02,23.78
0.5to1.6,23.15,83.11,27.3,33.47
0.5to1.7,23.21,83.33,22.44,29.91
0.5to1.8,23.18,85.19,36.82,29.97
0.5to1.9,23.18,85.08,21.44,26.21
0.5to2.0,23.58,82.82,28.66,26.28
0.5to2.1,23.45,86.33,42.26,19.51
0.5to2.2,23.46,83.49,31.25,24.01
0.5to2.3,22.29,87.19,34.46,46.9
0.5to2.4,23.38,85.39,39.67,22.27
0.5to2.5,23.34,84.77,26.21,21.62
0.5to2.6,23.74,79.61,25.88,17.04
0.5to2.7,24.33,78.7,24.86,19.99
0.5to2.8,24.54,75.26,30.97,21.33
0.5to2.9,24.63,73.22,29.75,14.22
0.5to3.0,23.61,67.08,26.8,15.14
0.6to0.1,12.33,26.6,57.16,18.83
0.6to0.2,13.99,36.22,30.02,22.7
0.6to0.3,11.78,38.67,13.37,19.85
0.6to0.4,11.44,38.84,21.63,26.93
0.6to0.5,14.19,52.91,17.16,36.66
0.6to0.6,16.67,59.58,19.99,19.22
0.6to0.7,17.61,65.21,19.04,27.04
0.6to0.8,19.34,69.33,14.88,36.32
0.6to0.9,20.71,67.25,14.87,38.33
0.6to1.0,21.06,70.39,23.21,35.16
0.6to1.1,21.68,76.44,34.44,31.27
0.6to1.2,21.81,71.47,26.37,44.5
0.6to1.3,23.01,80.23,32.73,28.74
0.6to1.4,22.82,81.15,39.42,28.09
0.6to1.5,22.93,78.98,37.05,28.09
0.6to1.6,22.88,80.53,43.05,20.9
0.6to1.7,22.99,78.77,15.63,7.87
0.6to1.8,22.11,76.81,15.67,12.16
0.6to1.9,22.19,78.3,15.96,6.29
0.6to2.0,22.07,77.61,22.41,11.35
0.6to2.1,21.78,80.0,35.21,3.49
0.6to2.2,22.63,77.39,24.73,14.51
0.6to2.3,19.92,80.71,47.61,55.92
0.6to2.4,21.49,79.89,26.04,-2.18
0.6to2.5,23.28,74.83,19.53,5.81
0.6to2.6,22.63,74.69,25.24,5.98
0.6to2.7,23.63,67.24,13.45,17.44
0.6to2.8,23.19,62.61,15.36,30.1
0.6to2.9,23.39,57.43,16.62,25.95
0.6to3.0,21.2,51.08,13.76,30.11
0.7to0.1,10.18,19.21,29.21,25.32
0.7to0.2,12.52,59.18,41.51,24.38
0.7to0.3,12.86,59.59,22.89,25.34
0.7to0.4,11.69,51.45,26.73,23.37
0.7to0.5,11.09,49.28,16.64,21.51
0.7to0.6,13.1,54.53,14.12,38.29
0.7to0.7,16.45,61.88,13.27,25.59
0.7to0.8,17.82,65.68,16.04,29.62
0.7to0.9,19.27,63.82,12.96,40.58
0.7to1.0,19.94,66.49,13.42,29.51
0.7to1.1,21.2,69.58,19.84,25.33
0.7to1.2,21.32,70.55,17.87,25.37
0.7to1.3,22.39,74.44,12.81,25.34
0.7to1.4,22.37,73.61,18.88,32.78
0.7to1.5,22.12,74.19,24.58,13.44
0.7to1.6,22.67,73.4,19.32,17.68
0.7to1.7,23.07,75.09,13.75,12.72
0.7to1.8,23.05,75.36,17.82,10.63
0.7to1.9,22.83,76.78,13.93,17.69
0.7to2.0,23.02,76.94,15.4,10.14
0.7to2.1,22.67,79.65,17.98,8.02
0.7to2.2,23.06,76.5,21.96,12.41
0.7to2.3,22.25,79.12,24.12,-4.0
0.7to2.4,22.57,78.19,18.26,-0.38
0.7to2.5,24.56,73.22,25.95,12.66
0.7to2.6,23.12,73.14,28.65,7.89
0.7to2.7,24.59,68.25,12.96,11.14
0.7to2.8,24.24,62.04,16.87,18.61
0.7to2.9,23.29,55.41,19.08,39.01
0.7to3.0,22.14,52.11,14.76,31.7
0.8to0.1,9.14,17.81,30.95,19.99
0.8to0.2,11.14,57.96,34.84,33.81
0.8to0.3,11.83,55.7,35.77,16.27
0.8to0.4,10.39,49.54,22.29,14.83
0.8to0.5,10.49,48.11,25.47,14.65
0.8to0.6,11.81,51.34,12.18,28.35
0.8to0.7,12.99,54.39,14.88,32.76
0.8to0.8,15.95,61.88,11.77,17.33
0.8to0.9,17.0,62.08,12.86,28.64
0.8to1.0,18.65,66.44,17.48,30.45
0.8to1.1,19.96,68.59,12.97,28.25
0.8to1.2,20.59,69.91,16.83,21.35
0.8to1.3,21.72,70.29,13.74,27.66
0.8to1.4,21.85,70.32,14.49,25.4
0.8to1.5,22.22,70.97,14.63,24.23
0.8to1.6,23.03,73.41,16.97,16.44
0.8to1.7,23.1,76.5,16.35,11.84
0.8to1.8,23.64,75.41,16.91,15.55
0.8to1.9,23.46,77.71,21.37,8.45
0.8to2.0,24.09,74.06,19.79,10.18
0.8to2.1,23.23,77.47,28.09,12.02
0.8to2.2,23.64,75.99,19.58,14.57
0.8to2.3,23.14,77.01,25.34,7.19
0.8to2.4,23.93,75.62,23.73,7.28
0.8to2.5,23.88,74.28,23.13,8.33
0.8to2.6,24.55,72.66,21.68,16.03
0.8to2.7,25.13,68.26,24.08,16.9
0.8to2.8,23.71,64.07,17.29,29.86
0.8to2.9,23.02,56.02,26.3,34.16
0.8to3.0,21.7,50.85,22.16,24.07
0.9to0.1,9.4,17.92,20.42,17.8
0.9to0.2,11.72,41.01,28.49,34.31
0.9to0.3,10.96,41.27,50.54,28.98
0.9to0.4,9.07,37.9,29.58,17.7
0.9to0.5,9.64,46.57,19.08,14.7
0.9to0.6,11.31,51.69,16.26,23.49
0.9to0.7,12.08,55.09,12.41,21.67
0.9to0.8,13.32,57.63,16.23,28.42
0.9to0.9,15.82,63.02,13.3,19.9
0.9to1.0,16.98,64.46,16.07,21.29
0.9to1.1,19.07,68.27,12.6,16.58
0.9to1.2,19.0,69.04,20.79,21.63
0.9to1.3,20.63,71.3,14.87,26.49
0.9to1.4,20.87,72.2,17.76,14.49
0.9to1.5,21.7,70.96,15.26,24.63
0.9to1.6,22.06,74.01,21.76,10.82
0.9to1.7,22.51,77.1,24.89,7.68
0.9to1.8,23.7,74.66,17.45,7.8
0.9to1.9,23.18,76.72,18.69,15.68
0.9to2.0,22.85,76.5,29.34,21.07
0.9to2.1,23.23,77.41,21.19,14.16
0.9to2.2,23.24,77.53,19.92,3.68
0.9to2.3,21.87,80.53,27.87,0.11
0.9to2.4,23.93,75.6,22.9,7.2
0.9to2.5,23.61,73.26,24.12,12.01
0.9to2.6,23.69,71.75,30.65,9.92
0.9to2.7,23.76,69.82,28.65,7.24
0.9to2.8,23.36,61.24,16.25,21.88
0.9to2.9,22.74,55.43,20.09,36.72
0.9to3.0,20.09,50.03,20.27,20.54
1.0to0.1,8.19,16.42,32.69,20.77
1.0to0.2,10.7,44.15,77.1,23.52
1.0to0.3,9.41,38.57,44.21,26.63
1.0to0.4,8.93,37.44,39.78,16.3
1.0to0.5,8.77,43.2,12.53,8.9
1.0to0.6,9.85,47.41,14.28,18.15
1.0to0.7,10.3,50.56,16.93,19.46
1.0to0.8,12.36,56.34,21.06,21.16
1.0to0.9,13.58,56.75,18.82,25.65
1.0to1.0,15.95,62.22,14.13,18.11
1.0to1.1,17.24,64.2,12.47,20.27
1.0to1.2,18.24,65.38,24.3,11.33
1.0to1.3,19.32,68.4,19.87,18.89
1.0to1.4,19.92,70.41,19.2,16.22
1.0to1.5,20.69,72.26,20.81,16.17
1.0to1.6,21.42,71.66,24.02,13.34
1.0to1.7,21.85,76.12,22.92,11.92
1.0to1.8,22.36,75.21,19.27,11.41
1.0to1.9,22.44,76.53,24.87,6.42
1.0to2.0,23.61,73.04,18.37,16.2
1.0to2.1,22.9,76.66,18.21,4.91
1.0to2.2,23.71,75.46,14.88,6.7
1.0to2.3,23.82,76.0,25.37,4.08
1.0to2.4,23.74,74.7,21.17,3.54
1.0to2.5,23.3,74.65,22.21,6.47
1.0to2.6,23.61,71.83,27.28,3.6
1.0to2.7,24.25,66.61,20.97,16.0
1.0to2.8,22.22,60.28,19.24,23.73
1.0to2.9,21.09,53.92,22.4,19.6
1.0to3.0,18.91,46.5,20.8,16.99
1.1to0.1,7.84,16.35,16.97,24.17
1.1to0.2,9.27,39.86,23.67,14.76
1.1to0.3,8.32,40.01,23.45,8.77
1.1to0.4,7.7,39.16,17.34,5.79
1.1to0.5,8.07,40.72,15.43,8.26
1.1to0.6,9.5,47.76,14.28,18.65
1.1to0.7,8.76,44.38,21.88,25.81
1.1to0.8,10.53,51.03,24.73,26.98
1.1to0.9,11.73,52.18,20.27,26.75
1.1to1.0,12.65,54.71,13.33,28.85
1.1to1.1,15.98,64.24,14.23,11.46
1.1to1.2,15.65,62.35,14.18,14.55
1.1to1.3,17.89,65.72,17.57,19.8
1.1to1.4,18.85,66.26,23.86,24.01
1.1to1.5,19.85,68.24,17.26,22.24
1.1to1.6,20.6,72.16,22.05,14.33
1.1to1.7,21.39,76.23,21.43,18.35
1.1to1.8,21.75,77.22,27.59,12.99
1.1to1.9,22.54,76.27,21.68,15.68
1.1to2.0,23.12,74.9,20.01,19.41
1.1to2.1,22.73,75.63,18.37,15.16
1.1to2.2,22.66,76.43,30.03,10.79
1.1to2.3,22.63,76.51,19.63,6.86
1.1to2.4,23.09,76.01,25.87,15.28
1.1to2.5,23.2,73.42,26.06,8.61
1.1to2.6,23.36,72.38,26.27,4.0
1.1to2.7,23.16,67.34,27.95,17.92
1.1to2.8,21.42,58.36,23.91,19.47
1.1to2.9,19.98,51.45,27.31,19.99
1.1to3.0,17.16,42.77,23.34,18.0
1.2to0.1,7.49,14.7,22.74,26.67
1.2to0.2,8.74,35.46,24.39,20.59
1.2to0.3,7.69,36.04,19.96,10.67
1.2to0.4,6.98,33.88,22.86,10.23
1.2to0.5,7.73,40.6,19.38,13.49
1.2to0.6,8.52,44.13,21.41,21.7
1.2to0.7,8.49,46.89,16.73,24.24
1.2to0.8,9.93,50.25,18.03,28.93
1.2to0.9,11.15,52.44,15.07,33.94
1.2to1.0,12.42,56.38,16.67,28.53
1.2to1.1,14.14,60.53,15.77,26.94
1.2to1.2,15.75,63.64,12.06,20.04
1.2to1.3,16.66,65.18,20.08,24.03
1.2to1.4,17.74,65.28,22.38,26.81
1.2to1.5,19.04,68.34,19.48,23.88
1.2to1.6,20.01,69.69,22.36,18.41
1.2to1.7,20.93,75.2,24.26,16.18
1.2to1.8,21.31,75.53,20.67,13.72
1.2to1.9,21.65,76.08,19.69,15.92
1.2to2.0,22.21,76.35,20.47,17.41
1.2to2.1,21.76,79.03,23.66,8.85
1.2to2.2,22.43,76.02,17.21,5.88
1.2to2.3,21.69,78.15,26.31,1.68
1.2to2.4,22.35,75.59,22.79,8.61
1.2to2.5,22.77,72.07,21.55,10.13
1.2to2.6,22.72,69.99,26.34,5.34
1.2to2.7,22.56,65.06,30.19,11.66
1.2to2.8,20.28,56.5,32.39,16.31
1.2to2.9,18.24,49.25,24.76,24.49
1.2to3.0,15.68,40.51,24.32,15.49
1.3to0.1,7.23,12.91,24.87,26.36
1.3to0.2,7.39,34.65,20.81,11.83
1.3to0.3,6.65,33.43,22.13,8.96
1.3to0.4,6.52,36.78,27.4,7.0
1.3to0.5,7.36,38.23,21.4,16.98
1.3to0.6,7.66,38.25,16.34,30.46
1.3to0.7,7.46,40.22,21.49,28.04
1.3to0.8,8.54,42.99,16.24,28.53
1.3to0.9,9.63,46.91,15.79,35.91
1.3to1.0,10.72,52.12,17.78,32.59
1.3to1.1,12.82,57.94,15.99,32.94
1.3to1.2,13.03,58.48,17.23,30.7
1.3to1.3,15.69,65.23,13.53,16.59
1.3to1.4,15.62,63.98,19.06,20.16
1.3to1.5,16.79,66.37,19.9,24.42
1.3to1.6,18.45,68.59,22.07,18.72
1.3to1.7,19.5,72.32,16.14,16.88
1.3to1.8,20.05,72.5,14.82,16.77
1.3to1.9,21.33,74.8,19.05,21.08
1.3to2.0,21.57,75.01,25.85,23.47
1.3to2.1,21.66,77.4,27.12,16.85
1.3to2.2,21.88,78.11,26.48,9.94
1.3to2.3,21.74,77.61,29.54,13.33
1.3to2.4,22.09,76.51,30.58,18.06
1.3to2.5,22.02,71.26,22.7,9.0
1.3to2.6,22.38,68.67,24.91,16.74
1.3to2.7,21.41,63.21,25.82,14.78
1.3to2.8,19.15,53.83,26.99,16.28
1.3to2.9,17.43,47.2,24.48,20.74
1.3to3.0,14.63,38.27,16.32,11.97
1.4to0.1,6.94,14.68,19.15,23.12
1.4to0.2,6.65,26.98,16.0,14.61
1.4to0.3,6.33,31.23,22.59,8.97
1.4to0.4,5.75,29.32,22.33,0.67
1.4to0.5,7.25,38.16,26.38,21.88
1.4to0.6,7.67,41.37,15.38,27.17
1.4to0.7,7.46,42.08,14.77,20.78
1.4to0.8,8.58,45.77,14.16,35.57
1.4to0.9,9.72,49.24,14.86,31.51
1.4to1.0,10.64,52.54,13.05,31.69
1.4to1.1,12.27,56.54,18.15,33.05
1.4to1.2,12.73,58.79,18.34,25.6
1.4to1.3,14.45,62.22,13.51,26.44
1.4to1.4,15.73,65.32,12.81,18.68
1.4to1.5,16.18,65.21,15.12,21.33
1.4to1.6,17.21,66.12,20.12,22.04
1.4to1.7,18.58,69.92,16.16,18.66
1.4to1.8,19.35,70.28,19.76,15.13
1.4to1.9,20.57,74.02,15.16,16.96
1.4to2.0,20.94,73.99,17.77,23.29
1.4to2.1,21.34,74.67,18.37,21.99
1.4to2.2,21.44,76.48,25.5,19.32
1.4to2.3,21.14,77.42,31.44,7.57
1.4to2.4,21.75,75.86,22.74,18.24
1.4to2.5,21.07,68.75,21.62,3.98
1.4to2.6,21.16,67.35,18.98,14.59
1.4to2.7,20.28,61.82,29.53,10.02
1.4to2.8,17.85,53.51,19.63,13.37
1.4to2.9,16.5,46.29,33.21,18.83
1.4to3.0,13.9,37.03,22.25,17.27
1.5to0.1,6.4,12.09,14.22,21.07
1.5to0.2,6.81,34.63,22.56,3.59
1.5to0.3,6.13,32.11,19.24,5.7
1.5to0.4,5.93,33.57,44.31,2.0
1.5to0.5,6.95,38.75,19.8,18.21
1.5to0.6,7.2,41.13,12.26,28.54
1.5to0.7,6.99,41.61,16.53,29.38
1.5to0.8,8.16,44.79,16.05,30.79
1.5to0.9,9.08,46.49,12.55,34.5
1.5to1.0,9.83,49.35,14.33,35.84
1.5to1.1,11.64,54.44,15.83,40.53
1.5to1.2,12.22,56.73,17.59,31.34
1.5to1.3,13.33,60.02,16.96,31.6
1.5to1.4,13.83,60.46,19.42,29.4
1.5to1.5,15.61,65.1,11.59,15.42
1.5to1.6,15.82,64.7,19.09,19.76
1.5to1.7,17.21,68.38,24.41,20.05
1.5to1.8,17.96,69.0,16.04,25.13
1.5to1.9,19.43,72.6,20.3,20.11
1.5to2.0,19.84,73.72,22.37,21.94
1.5to2.1,20.31,74.84,22.58,21.55
1.5to2.2,20.85,75.68,26.06,10.91
1.5to2.3,20.85,75.94,19.56,13.37
1.5to2.4,21.11,75.66,24.34,17.89
1.5to2.5,20.03,68.34,24.91,6.86
1.5to2.6,20.15,64.83,30.59,11.29
1.5to2.7,19.33,59.6,29.91,21.1
1.5to2.8,16.56,51.31,31.76,17.65
1.5to2.9,15.17,43.8,19.18,17.64
1.5to3.0,12.85,35.12,25.4,7.26
1.6to0.1,5.7,13.28,14.17,24.75
1.6to0.2,6.11,33.97,26.69,3.28
1.6to0.3,5.48,32.68,25.16,-0.69
1.6to0.4,5.58,36.53,23.77,9.74
1.6to0.5,5.81,34.47,16.95,24.38
1.6to0.6,6.62,39.27,15.22,34.28
1.6to0.7,9.35,41.88,13.77,35.6
1.6to0.8,10.48,45.86,11.63,31.05
1.6to0.9,11.07,46.05,11.61,37.37
1.6to1.0,11.07,48.57,12.43,26.47
1.6to1.1,13.13,52.3,16.58,38.83
1.6to1.2,12.12,50.82,12.21,32.62
1.6to1.3,14.43,56.24,11.46,38.66
1.6to1.4,14.92,56.67,13.48,42.99
1.6to1.5,14.96,58.28,12.72,31.3
1.6to1.6,16.28,61.66,14.1,21.91
1.6to1.7,16.95,62.98,14.34,30.78
1.6to1.8,17.75,63.54,14.31,26.04
1.6to1.9,18.77,65.92,12.45,22.6
1.6to2.0,19.01,65.09,15.79,20.03
1.6to2.1,19.19,65.75,18.11,17.19
1.6to2.2,19.47,65.03,17.1,11.28
1.6to2.3,19.11,64.0,17.72,9.73
1.6to2.4,19.77,66.05,17.26,8.5
1.6to2.5,19.83,64.79,21.02,6.86
1.6to2.6,19.62,62.59,18.55,9.64
1.6to2.7,19.66,59.96,18.35,2.66
1.6to2.8,18.35,55.41,18.27,2.03
1.6to2.9,17.86,50.68,18.97,2.33
1.6to3.0,15.01,40.37,24.81,9.33
1.7to0.1,8.77,18.62,21.77,29.05
1.7to0.2,10.31,34.93,34.45,32.92
1.7to0.3,8.71,33.13,22.22,25.98
1.7to0.4,9.07,34.65,23.5,27.87
1.7to0.5,8.97,37.08,17.67,31.84
1.7to0.6,8.98,40.25,9.42,24.59
1.7to0.7,9.17,41.47,17.2,34.18
1.7to0.8,10.14,44.96,13.07,31.12
1.7to0.9,10.53,43.82,16.26,36.74
1.7to1.0,10.63,44.78,15.14,33.06
1.7to1.1,12.53,49.84,14.23,37.48
1.7to1.2,12.46,51.59,12.52,29.95
1.7to1.3,14.01,56.61,12.33,34.27
1.7to1.4,14.21,56.34,10.83,35.45
1.7to1.5,14.85,57.98,14.37,34.56
1.7to1.6,15.15,58.22,14.37,31.22
1.7to1.7,16.36,60.93,11.75,27.09
1.7to1.8,16.94,62.82,13.62,22.78
1.7to1.9,17.9,64.31,14.79,21.1
1.7to2.0,18.03,62.96,15.13,27.48
1.7to2.1,18.26,63.91,15.29,13.39
1.7to2.2,18.71,64.73,16.97,11.02
1.7to2.3,18.56,63.49,16.89,15.08
1.7to2.4,19.04,63.1,21.87,5.99
1.7to2.5,18.81,63.23,17.47,9.08
1.7to2.6,18.75,61.18,28.35,-1.02
1.7to2.7,18.75,59.19,29.82,11.26
1.7to2.8,17.1,52.44,22.35,2.65
1.7to2.9,16.31,48.66,22.42,3.95
1.7to3.0,14.03,40.2,31.74,5.86
1.8to0.1,7.93,13.92,37.82,26.76
1.8to0.2,10.03,33.73,37.46,30.45
1.8to0.3,8.92,36.66,30.58,26.58
1.8to0.4,8.61,35.03,28.2,29.0
1.8to0.5,8.91,38.05,17.62,32.08
1.8to0.6,8.71,39.9,19.57,33.04
1.8to0.7,8.68,40.33,18.2,36.84
1.8to0.8,9.72,43.66,17.42,34.08
1.8to0.9,10.13,43.28,15.74,33.15
1.8to1.0,10.23,45.19,15.9,33.44
1.8to1.1,12.12,50.02,12.57,31.88
1.8to1.2,11.59,50.81,17.77,29.08
1.8to1.3,13.06,53.21,14.8,38.64
1.8to1.4,13.36,54.49,17.79,33.4
1.8to1.5,14.02,57.17,10.77,32.93
1.8to1.6,14.23,57.04,15.49,30.21
1.8to1.7,14.8,58.12,19.82,28.24
1.8to1.8,16.12,61.3,14.9,22.0
1.8to1.9,16.84,62.24,12.4,24.76
1.8to2.0,16.85,61.63,13.51,24.55
1.8to2.1,16.94,61.19,16.78,27.35
1.8to2.2,17.5,61.92,13.08,15.49
1.8to2.3,17.32,60.5,16.44,13.06
1.8to2.4,18.17,61.92,16.35,15.93
1.8to2.5,17.85,61.49,18.43,9.49
1.8to2.6,17.97,60.38,23.37,2.32
1.8to2.7,17.26,58.9,25.68,2.52
1.8to2.8,16.0,51.01,17.42,6.05
1.8to2.9,15.57,47.75,29.78,-0.94
1.8to3.0,12.93,39.1,35.48,9.0
1.9to0.1,8.41,15.5,33.39,34.88
1.9to0.2,9.64,31.36,34.64,28.34
1.9to0.3,8.54,34.66,23.86,26.87
1.9to0.4,8.25,34.32,40.37,29.04
1.9to0.5,8.72,41.15,28.0,32.09
1.9to0.6,8.47,40.75,21.93,28.44
1.9to0.7,8.34,41.14,19.0,33.65
1.9to0.8,9.15,43.79,12.46,34.08
1.9to0.9,9.73,44.15,16.41,32.35
1.9to1.0,9.98,46.35,11.4,24.8
1.9to1.1,11.2,48.82,14.65,38.97
1.9to1.2,10.91,49.34,17.51,35.9
1.9to1.3,12.49,52.82,15.3,30.53
1.9to1.4,12.84,53.42,12.67,29.75
1.9to1.5,13.22,55.0,16.23,31.77
1.9to1.6,13.34,55.92,23.78,23.57
1.9to1.7,14.01,57.14,14.39,28.27
1.9to1.8,15.09,58.98,17.38,25.07
1.9to1.9,15.81,61.06,12.33,23.67
1.9to2.0,16.26,60.97,14.69,21.76
1.9to2.1,16.23,60.61,17.32,22.07
1.9to2.2,16.79,61.4,13.98,15.13
1.9to2.3,16.47,59.52,14.04,16.45
1.9to2.4,17.18,60.42,18.61,16.6
1.9to2.5,16.82,59.47,16.0,7.36
1.9to2.6,17.12,58.11,18.76,6.57
1.9to2.7,16.63,56.88,18.43,3.3
1.9to2.8,15.15,50.36,28.42,-1.51
1.9to2.9,14.85,46.87,18.16,9.29
1.9to3.0,12.18,37.79,33.85,9.15
2.0to0.1,7.89,13.45,31.98,27.29
2.0to0.2,9.35,35.61,25.17,24.09
2.0to0.3,8.37,35.16,26.39,23.47
2.0to0.4,8.3,38.38,30.43,25.03
2.0to0.5,8.49,40.65,16.59,31.99
2.0to0.6,8.59,41.18,10.71,30.5
2.0to0.7,8.43,40.62,14.55,31.21
2.0to0.8,8.92,44.01,18.65,34.5
2.0to0.9,9.52,44.89,15.59,31.31
2.0to1.0,9.58,47.29,13.14,23.22
2.0to1.1,11.21,49.65,10.41,35.64
