,Sharpness,Contrast,NIQE,BRISQUE
0.1to0.1,16.14,66.55,13.77,20.05
0.1to0.2,7.99,35.62,39.73,19.41
0.1to0.3,8.07,39.35,44.48,15.15
0.1to0.4,8.2,38.92,26.32,23.45
0.1to0.5,7.78,33.79,12.33,22.58
0.1to0.6,7.63,32.61,21.4,27.49
0.1to0.7,7.43,29.33,32.96,25.27
0.1to0.8,6.75,24.92,27.35,25.04
0.1to0.9,7.23,25.07,47.36,29.19
0.1to1.0,6.69,21.68,33.33,27.13
0.1to1.1,6.68,21.19,31.04,29.11
0.1to1.2,6.97,21.11,30.74,26.95
0.1to1.3,6.64,20.78,30.94,31.2
0.1to1.4,6.43,17.11,45.2,33.22
0.1to1.5,6.22,18.38,33.81,29.78
0.1to1.6,5.77,15.27,49.78,32.46
0.1to1.7,5.38,13.06,66.21,24.43
0.1to1.8,5.26,13.62,35.36,24.96
0.1to1.9,5.62,11.87,68.8,30.38
0.1to2.0,5.39,11.65,59.2,26.03
0.1to2.1,5.42,11.03,81.84,30.29
0.1to2.2,5.43,11.82,72.89,27.9
0.1to2.3,5.45,11.86,55.74,28.77
0.1to2.4,5.38,11.42,71.34,26.08
0.1to2.5,5.37,11.69,44.16,28.83
0.1to2.6,5.55,12.18,57.6,29.46
0.1to2.7,6.05,13.82,52.08,28.93
0.1to2.8,6.74,16.15,18.72,36.93
0.1to2.9,7.18,18.59,39.79,37.66
0.1to3.0,6.99,18.16,27.79,32.37
0.2to0.1,10.13,20.64,40.24,31.56
0.2to0.2,17.12,63.96,14.48,25.32
0.2to0.3,13.36,53.26,23.86,36.71
0.2to0.4,14.38,58.63,19.12,39.74
0.2to0.5,12.93,48.95,39.92,21.78
0.2to0.6,12.67,47.8,17.27,25.46
0.2to0.7,12.79,45.81,24.55,31.03
0.2to0.8,12.51,43.0,23.71,30.12
0.2to0.9,12.86,45.74,19.5,25.81
0.2to1.0,12.0,40.09,15.79,33.79
0.2to1.1,12.45,43.59,11.21,33.95
0.2to1.2,12.05,42.09,17.94,33.59
0.2to1.3,12.43,42.91,14.2,37.1
0.2to1.4,12.44,44.25,12.24,36.79
0.2to1.5,13.25,44.36,19.28,43.55
0.2to1.6,12.3,44.61,14.8,35.24
0.2to1.7,14.04,43.02,15.29,52.45
