,Sharpness,Contrast,NIQE,BRISQUE
0.3to0.4,17.65,70.96,18.62,18.08
0.3to0.5,17.29,77.07,16.05,33.98
0.3to0.6,17.43,77.66,28.57,34.01
0.3to0.7,17.34,75.41,26.15,31.28
0.3to0.8,17.28,74.11,18.74,30.98
0.3to0.9,18.5,77.93,18.01,43.5
0.3to1.0,16.68,76.44,36.0,43.94
0.3to1.1,16.63,75.48,33.68,33.07
0.3to1.2,17.06,74.81,25.72,29.94
0.3to1.3,17.95,76.58,15.33,37.05
0.3to1.4,17.75,78.02,20.61,31.27
0.3to1.5,17.44,79.2,25.22,29.47
0.3to1.6,18.36,72.59,25.74,26.34
0.3to1.7,16.41,76.95,29.8,49.41
0.3to1.8,18.31,73.3,29.87,26.23
0.3to1.9,15.94,72.5,28.56,44.34
0.3to2.0,16.31,72.94,36.56,30.97
0.3to2.1,18.11,71.27,27.22,22.69
0.3to2.2,16.79,77.38,37.41,30.96
0.3to2.3,16.14,74.74,37.0,33.32
0.3to2.4,16.12,72.62,34.94,30.8
0.3to2.5,16.1,72.31,35.68,39.79
0.3to2.6,15.5,64.91,30.19,19.34
0.3to2.7,15.43,62.91,48.4,19.44
0.3to2.8,14.79,55.46,54.4,14.03
0.3to2.9,14.3,43.24,16.77,24.56
0.3to3.0,14.27,38.3,23.73,18.9
0.4to0.1,15.31,31.23,23.49,31.35
0.4to0.2,13.94,34.58,33.01,17.72
0.4to0.3,14.44,45.81,25.67,25.38
0.4to0.4,18.87,64.87,13.85,12.48
0.4to0.5,18.68,73.51,17.51,27.06
0.4to0.6,18.62,73.94,23.77,23.7
0.4to0.7,17.07,76.57,36.49,26.02
0.4to0.8,16.85,75.7,35.03,30.31
0.4to0.9,18.06,72.95,20.59,33.26
0.4to1.0,17.41,76.83,44.36,24.75
0.4to1.1,16.83,76.17,32.22,38.11
0.4to1.2,16.15,73.31,43.68,26.75
0.4to1.3,16.32,73.43,38.38,43.41
0.4to1.4,16.61,75.47,37.98,35.47
0.4to1.5,16.12,73.67,27.74,37.5
0.4to1.6,16.43,72.88,36.83,47.33
0.4to1.7,16.24,73.54,30.58,45.34
0.4to1.8,16.45,75.02,31.25,37.76
0.4to1.9,16.07,71.71,46.38,33.62
0.4to2.0,16.62,72.54,30.73,41.13
0.4to2.1,17.52,74.63,46.56,24.84
0.4to2.2,16.2,72.67,32.62,42.36
0.4to2.3,16.47,71.97,42.48,34.9
0.4to2.4,16.33,68.47,50.63,30.49
0.4to2.5,16.72,73.14,35.57,42.41
0.4to2.6,16.45,65.45,30.95,14.1
0.4to2.7,16.3,62.58,32.94,51.92
0.4to2.8,15.39,58.27,34.1,36.9
0.4to2.9,17.24,55.06,27.15,4.74
0.4to3.0,15.56,42.1,17.65,20.91
0.5to0.1,15.36,32.33,22.63,21.57
0.5to0.2,13.56,33.41,22.12,29.43
0.5to0.3,13.02,37.76,22.95,26.55
0.5to0.4,14.17,45.89,22.51,22.05
0.5to0.5,18.68,65.08,11.86,20.06
0.5to0.6,20.18,72.63,20.43,26.52
0.5to0.7,20.97,76.77,19.87,19.53
0.5to0.8,20.68,82.5,22.98,13.43
0.5to0.9,22.64,81.47,18.64,12.58
0.5to1.0,22.33,82.35,17.66,23.52
0.5to1.1,21.37,84.87,34.17,18.57
0.5to1.2,22.48,85.43,17.3,33.37
0.5to1.3,21.33,87.53,36.05,56.2
0.5to1.4,20.82,86.94,27.82,49.8
0.5to1.5,21.38,87.36,36.45,57.56
0.5to1.6,21.66,87.06,28.8,37.17
0.5to1.7,21.42,88.21,31.4,55.87
0.5to1.8,21.01,87.44,25.83,66.63
0.5to1.9,20.98,87.24,28.24,60.38
0.5to2.0,21.26,87.25,28.52,49.15
0.5to2.1,21.96,87.22,28.63,50.68
0.5to2.2,21.48,85.92,33.92,45.53
0.5to2.3,21.37,87.53,23.55,54.96
0.5to2.4,21.82,86.0,31.78,33.99
0.5to2.5,21.51,86.35,29.51,51.97
0.5to2.6,22.69,84.01,37.48,19.04
0.5to2.7,23.85,83.15,21.5,43.67
0.5to2.8,24.05,80.7,20.96,5.19
0.5to2.9,25.02,74.6,25.76,9.91
0.5to3.0,23.54,69.55,17.98,12.13
0.6to0.1,14.58,29.64,19.86,24.9
0.6to0.2,14.69,35.83,24.54,22.34
0.6to0.3,13.36,38.22,17.23,24.8
0.6to0.4,12.98,38.96,12.39,22.65
0.6to0.5,15.88,53.24,21.27,25.27
0.6to0.6,18.32,62.49,16.34,20.54
0.6to0.7,18.92,68.24,22.43,20.9
0.6to0.8,20.51,74.72,35.38,25.01
0.6to0.9,21.83,73.17,15.24,29.52
0.6to1.0,22.01,75.93,24.13,18.93
0.6to1.1,22.36,81.89,23.97,25.98
0.6to1.2,22.57,80.09,23.01,20.61
0.6to1.3,21.48,85.17,38.33,16.38
0.6to1.4,20.97,85.19,36.83,27.97
0.6to1.5,21.66,84.38,30.33,22.93
0.6to1.6,21.57,85.31,37.45,21.82
0.6to1.7,23.23,81.09,16.23,12.35
0.6to1.8,21.22,80.74,39.54,6.51
0.6to1.9,21.74,81.18,20.03,23.63
0.6to2.0,22.0,80.04,20.32,2.56
0.6to2.1,20.67,80.5,39.42,8.3
0.6to2.2,22.79,79.53,22.86,2.07
0.6to2.3,19.41,80.01,91.14,65.09
0.6to2.4,20.08,80.4,45.57,42.97
0.6to2.5,23.84,76.65,18.75,2.45
0.6to2.6,22.33,76.62,14.31,10.29
0.6to2.7,24.1,68.03,22.38,15.43
0.6to2.8,23.68,64.52,17.71,20.8
0.6to2.9,24.34,59.21,16.91,23.73
0.6to3.0,22.38,52.06,14.42,30.36
0.7to0.1,11.59,21.98,27.48,29.35
0.7to0.2,14.51,55.86,19.89,22.59
0.7to0.3,14.76,56.24,35.3,12.07
0.7to0.4,13.54,51.26,23.55,22.06
0.7to0.5,12.89,50.82,22.47,14.7
0.7to0.6,15.15,57.87,14.68,28.67
0.7to0.7,18.41,64.86,14.63,17.41
0.7to0.8,19.8,68.04,16.27,32.79
0.7to0.9,20.7,66.75,12.4,29.09
0.7to1.0,21.31,67.84,12.65,16.28
0.7to1.1,22.25,71.74,18.54,10.89
0.7to1.2,22.43,72.93,18.7,7.8
0.7to1.3,23.06,76.01,16.27,12.57
0.7to1.4,23.12,75.57,14.75,20.91
0.7to1.5,22.81,76.23,30.76,7.06
0.7to1.6,22.85,75.17,17.02,14.85
0.7to1.7,23.14,77.27,17.32,10.28
0.7to1.8,23.42,77.18,27.69,11.51
0.7to1.9,22.83,80.25,18.0,2.91
0.7to2.0,23.35,79.05,20.5,6.01
0.7to2.1,21.27,82.35,30.18,6.33
0.7to2.2,22.39,78.55,19.03,15.02
0.7to2.3,21.0,79.94,39.71,9.91
0.7to2.4,21.14,79.45,32.71,-0.27
0.7to2.5,24.86,74.44,18.77,18.37
0.7to2.6,23.05,74.09,16.05,9.82
0.7to2.7,24.82,68.88,12.52,15.31
0.7to2.8,24.63,62.77,17.28,12.81
0.7to2.9,24.31,57.12,20.29,38.0
0.7to3.0,23.21,53.37,15.35,33.55
0.8to0.1,11.14,23.1,32.11,20.22
0.8to0.2,11.85,55.42,44.18,30.76
0.8to0.3,13.25,51.31,27.12,15.87
0.8to0.4,12.05,50.24,23.88,17.99
0.8to0.5,12.59,52.41,26.78,14.38
0.8to0.6,13.95,55.8,16.6,20.58
0.8to0.7,14.84,57.26,20.36,24.91
0.8to0.8,17.93,64.97,13.17,16.75
0.8to0.9,19.15,65.88,16.09,31.46
0.8to1.0,20.43,69.9,11.71,21.6
0.8to1.1,21.35,71.25,13.69,27.05
0.8to1.2,21.96,71.44,13.64,21.11
0.8to1.3,22.59,71.73,15.64,32.93
0.8to1.4,22.41,71.82,15.48,24.8
0.8to1.5,22.66,71.95,14.77,21.6
0.8to1.6,23.4,74.67,17.35,13.02
0.8to1.7,23.38,78.01,17.54,5.25
0.8to1.8,24.1,76.4,21.25,3.12
0.8to1.9,23.32,79.09,26.32,-4.27
0.8to2.0,24.01,76.72,22.12,7.31
0.8to2.1,21.17,80.5,29.82,8.22
0.8to2.2,22.85,78.67,22.19,3.33
0.8to2.3,22.41,78.67,20.51,2.33
0.8to2.4,23.6,76.93,24.02,3.67
0.8to2.5,23.72,75.99,26.19,-5.98
0.8to2.6,24.43,73.88,27.83,10.48
0.8to2.7,25.24,68.76,20.83,18.96
0.8to2.8,23.78,64.97,19.79,21.21
0.8to2.9,24.13,57.86,20.4,30.13
0.8to3.0,22.95,52.72,24.27,20.97
0.9to0.1,11.3,22.5,29.58,30.91
0.9to0.2,13.68,43.52,40.29,26.81
0.9to0.3,13.33,43.03,51.67,24.07
0.9to0.4,11.45,42.24,25.16,25.8
0.9to0.5,11.84,50.15,45.55,9.33
0.9to0.6,13.38,53.91,15.6,16.11
0.9to0.7,14.16,56.94,24.83,20.7
0.9to0.8,14.88,58.84,21.05,25.0
0.9to0.9,17.77,65.81,19.22,9.83
0.9to1.0,18.83,66.97,15.46,20.14
0.9to1.1,20.61,70.95,13.23,15.31
0.9to1.2,20.54,71.25,14.64,15.83
0.9to1.3,21.9,73.52,17.42,19.85
0.9to1.4,21.93,72.56,14.63,14.58
0.9to1.5,22.64,73.58,17.02,20.17
0.9to1.6,22.81,75.76,22.82,8.78
0.9to1.7,21.91,80.05,23.73,4.27
0.9to1.8,23.72,77.34,18.58,5.48
0.9to1.9,22.32,80.42,27.13,8.12
0.9to2.0,22.55,77.62,25.2,8.47
0.9to2.1,22.02,79.43,19.86,13.75
0.9to2.2,23.09,78.16,20.12,0.88
0.9to2.3,20.16,80.11,55.1,45.25
0.9to2.4,24.1,76.01,25.52,8.77
0.9to2.5,23.55,74.16,26.91,6.48
0.9to2.6,23.62,72.73,28.83,6.81
0.9to2.7,24.02,70.52,21.17,10.46
0.9to2.8,24.0,62.99,13.75,27.01
0.9to2.9,24.07,58.31,18.92,37.02
0.9to3.0,21.16,53.23,14.75,17.62
1.0to0.1,10.17,22.82,23.29,23.14
1.0to0.2,12.22,41.3,46.42,26.43
1.0to0.3,11.57,40.29,30.66,22.68
1.0to0.4,11.1,37.17,63.15,22.06
1.0to0.5,10.89,47.08,31.12,13.66
1.0to0.6,11.95,50.3,22.01,18.04
1.0to0.7,12.27,51.66,11.01,19.19
1.0to0.8,14.2,56.92,18.97,21.23
1.0to0.9,15.55,59.98,18.35,22.88
1.0to1.0,17.97,65.06,16.12,11.49
1.0to1.1,19.35,67.22,14.72,22.1
1.0to1.2,20.1,69.27,21.35,19.04
1.0to1.3,20.94,70.41,11.15,13.0
1.0to1.4,21.38,72.72,13.25,8.24
1.0to1.5,21.85,74.32,19.44,4.88
1.0to1.6,22.38,73.96,21.43,15.08
1.0to1.7,21.97,78.03,23.83,0.9
1.0to1.8,22.72,77.32,15.15,3.29
1.0to1.9,22.37,79.01,20.41,0.88
1.0to2.0,23.86,75.25,18.94,10.25
1.0to2.1,23.26,77.09,14.09,8.61
1.0to2.2,23.79,76.13,17.85,9.35
1.0to2.3,24.43,75.79,19.8,2.87
1.0to2.4,23.99,75.72,22.13,1.25
1.0to2.5,23.34,75.08,24.08,5.57
1.0to2.6,23.57,72.55,28.77,9.93
1.0to2.7,24.85,67.17,14.6,20.14
1.0to2.8,23.44,63.21,20.02,27.96
1.0to2.9,22.57,56.52,23.45,23.9
1.0to3.0,20.46,49.19,21.05,24.18
1.1to0.1,9.82,20.97,22.26,25.85
1.1to0.2,11.58,45.46,39.61,15.27
1.1to0.3,10.66,42.87,38.69,17.9
1.1to0.4,9.73,40.24,41.61,13.42
1.1to0.5,10.17,44.27,30.58,10.4
1.1to0.6,11.2,47.98,22.66,13.74
1.1to0.7,10.59,48.38,22.78,16.13
1.1to0.8,12.39,53.53,32.02,21.08
1.1to0.9,13.67,55.78,22.47,22.68
1.1to1.0,14.46,56.68,20.94,23.12
1.1to1.1,17.94,65.96,13.66,18.01
1.1to1.2,17.65,64.5,14.93,23.72
1.1to1.3,20.09,68.48,18.63,17.24
1.1to1.4,20.81,68.95,21.56,21.52
1.1to1.5,21.72,71.6,22.36,25.69
1.1to1.6,22.18,73.3,21.91,19.44
1.1to1.7,22.03,77.52,20.07,17.13
1.1to1.8,22.18,77.46,19.61,13.88
1.1to1.9,22.95,78.48,22.31,8.42
1.1to2.0,23.32,77.86,13.81,14.13
1.1to2.1,23.27,76.81,19.33,14.49
1.1to2.2,23.22,75.78,16.44,14.5
1.1to2.3,22.91,75.72,10.98,4.86
1.1to2.4,23.45,77.03,25.71,20.46
1.1to2.5,23.66,74.45,25.46,0.15
1.1to2.6,23.88,73.18,28.92,-1.7
1.1to2.7,24.0,68.44,23.66,25.43
1.1to2.8,22.86,60.66,17.36,23.73
1.1to2.9,21.49,53.84,30.19,23.78
1.1to3.0,18.96,45.81,20.99,21.35
1.2to0.1,9.39,20.02,15.39,26.51
1.2to0.2,10.84,40.83,29.78,18.4
1.2to0.3,10.21,42.84,28.57,15.13
1.2to0.4,9.13,35.76,31.61,16.26
1.2to0.5,9.68,41.57,39.44,12.43
1.2to0.6,10.25,45.3,19.65,20.58
1.2to0.7,10.12,47.08,21.62,14.63
1.2to0.8,11.6,51.02,14.28,20.47
1.2to0.9,12.65,52.53,14.51,31.89
1.2to1.0,14.32,58.04,14.14,25.44
1.2to1.1,15.98,61.9,15.49,28.03
1.2to1.2,17.79,65.35,14.21,28.3
1.2to1.3,18.75,66.9,16.25,27.8
1.2to1.4,19.85,67.61,16.92,22.93
1.2to1.5,21.06,71.91,17.24,23.51
1.2to1.6,21.65,72.55,19.33,11.43
1.2to1.7,21.91,77.26,26.44,11.88
1.2to1.8,22.23,77.4,20.33,13.31
1.2to1.9,22.51,76.25,19.02,7.21
1.2to2.0,22.84,78.07,21.45,-2.39
1.2to2.1,22.21,78.47,25.03,0.5
1.2to2.2,23.12,74.9,13.97,2.94
1.2to2.3,22.12,77.04,20.73,2.25
1.2to2.4,22.88,75.45,13.61,2.97
1.2to2.5,23.38,73.55,21.43,13.21
1.2to2.6,23.08,71.04,20.34,10.79
1.2to2.7,23.49,67.85,23.5,26.38
1.2to2.8,21.96,59.53,24.71,30.38
1.2to2.9,20.03,52.52,22.2,32.94
1.2to3.0,17.43,43.55,25.9,20.9
1.3to0.1,9.34,16.79,31.46,32.51
1.3to0.2,9.55,37.65,24.36,15.84
1.3to0.3,8.75,34.92,34.8,16.92
1.3to0.4,8.66,39.08,27.88,15.78
1.3to0.5,9.55,43.63,20.24,17.33
1.3to0.6,9.77,44.12,12.93,18.4
1.3to0.7,8.76,41.96,20.26,17.68
1.3to0.8,10.11,44.8,10.84,26.4
1.3to0.9,11.19,48.25,13.69,28.08
1.3to1.0,12.49,55.43,15.82,19.05
1.3to1.1,14.55,59.24,14.09,24.77
1.3to1.2,14.85,60.05,14.31,18.35
1.3to1.3,17.58,66.76,12.53,18.42
1.3to1.4,17.66,66.59,22.16,24.51
1.3to1.5,19.02,68.44,18.07,26.42
1.3to1.6,20.6,72.39,17.02,13.52
1.3to1.7,21.21,74.98,17.47,12.59
1.3to1.8,21.57,74.9,14.11,9.58
1.3to1.9,22.32,76.91,17.83,10.14
1.3to2.0,22.54,76.53,19.46,21.23
1.3to2.1,22.45,78.15,18.64,19.04
1.3to2.2,22.5,77.79,19.81,18.27
1.3to2.3,22.25,77.91,16.45,15.05
1.3to2.4,22.52,76.3,25.51,13.99
1.3to2.5,23.11,72.86,22.27,16.14
1.3to2.6,23.18,70.72,21.11,24.63
1.3to2.7,23.12,65.8,22.78,14.29
1.3to2.8,21.3,57.73,28.71,22.08
1.3to2.9,19.89,53.08,30.28,29.13
1.3to3.0,16.99,43.68,19.68,28.53
1.4to0.1,9.24,22.55,23.06,19.48
1.4to0.2,8.97,31.95,23.96,14.67
1.4to0.3,8.55,35.58,26.8,12.36
1.4to0.4,7.84,32.78,12.08,11.24
1.4to0.5,9.28,40.8,12.98,18.39
1.4to0.6,9.5,43.81,13.94,20.09
1.4to0.7,9.2,45.4,15.03,9.06
1.4to0.8,10.3,48.22,17.94,26.91
1.4to0.9,11.17,50.05,19.69,26.98
1.4to1.0,12.03,53.07,10.24,24.91
1.4to1.1,13.84,57.73,15.02,21.25
1.4to1.2,14.35,60.46,19.03,15.48
1.4to1.3,16.19,63.87,14.1,22.97
1.4to1.4,17.64,66.88,10.98,18.75
1.4to1.5,18.2,67.93,20.07,18.93
1.4to1.6,19.46,69.08,18.14,18.68
1.4to1.7,20.52,72.89,18.45,18.1
1.4to1.8,21.21,74.25,14.97,8.46
1.4to1.9,21.96,75.59,17.7,7.76
1.4to2.0,22.2,75.55,18.01,26.2
1.4to2.1,22.41,76.16,18.17,21.55
1.4to2.2,22.36,75.97,21.4,11.7
1.4to2.3,21.85,77.05,18.81,1.04
1.4to2.4,22.51,76.2,20.44,12.62
1.4to2.5,22.37,71.53,17.87,13.85
1.4to2.6,22.5,69.66,20.87,15.88
1.4to2.7,22.22,64.24,24.83,10.73
1.4to2.8,20.33,57.45,21.46,25.89
1.4to2.9,18.95,52.5,26.77,21.24
1.4to3.0,16.28,42.78,19.72,31.33
1.5to0.1,8.7,18.1,17.01,24.49
1.5to0.2,9.34,41.44,16.1,5.37
1.5to0.3,8.54,34.91,25.09,12.5
1.5to0.4,8.06,36.56,18.35,13.4
1.5to0.5,8.96,40.86,22.88,15.6
1.5to0.6,9.06,43.47,12.91,18.92
1.5to0.7,8.55,43.69,13.22,16.88
1.5to0.8,9.55,45.74,18.54,25.31
1.5to0.9,10.67,48.41,15.22,20.0
1.5to1.0,11.05,48.53,11.94,23.91
1.5to1.1,13.03,54.8,13.57,30.77
1.5to1.2,13.91,59.02,17.21,18.2
1.5to1.3,15.1,61.06,14.52,26.1
1.5to1.4,15.57,62.65,17.1,18.93
1.5to1.5,17.51,67.04,14.84,12.89
1.5to1.6,17.79,66.9,16.07,8.7
1.5to1.7,19.25,70.73,15.69,16.44
1.5to1.8,20.07,72.29,15.35,19.25
1.5to1.9,21.08,75.27,17.41,10.9
1.5to2.0,21.36,77.05,27.79,9.13
1.5to2.1,21.4,76.96,31.36,10.56
1.5to2.2,22.06,75.72,22.49,5.6
1.5to2.3,21.86,76.08,23.72,9.94
1.5to2.4,21.76,77.23,27.04,12.58
1.5to2.5,21.86,70.34,21.27,10.56
1.5to2.6,22.02,67.58,28.26,18.27
1.5to2.7,21.47,63.25,28.92,22.56
1.5to2.8,19.11,55.71,17.77,15.66
1.5to2.9,17.57,48.45,28.37,21.26
1.5to3.0,15.28,40.64,26.52,28.44
1.6to0.1,7.86,18.07,14.8,22.91
1.6to0.2,8.49,40.42,25.6,4.63
1.6to0.3,7.66,35.1,21.7,5.58
1.6to0.4,7.52,37.64,12.41,2.16
1.6to0.5,8.07,39.79,20.69,13.62
1.6to0.6,8.42,41.03,7.57,19.95
1.6to0.7,11.28,43.08,17.65,32.82
1.6to0.8,12.54,49.62,10.98,15.97
1.6to0.9,13.12,48.83,12.84,29.72
1.6to1.0,13.16,51.25,17.98,15.66
1.6to1.1,15.15,55.6,13.72,27.8
1.6to1.2,14.09,52.99,14.13,22.86
1.6to1.3,16.47,59.68,13.75,32.74
1.6to1.4,17.13,60.55,13.08,34.88
1.6to1.5,17.27,62.49,13.97,27.12
1.6to1.6,18.6,65.27,11.18,23.31
1.6to1.7,19.18,67.31,13.46,29.14
1.6to1.8,19.88,67.68,17.66,27.99
1.6to1.9,20.61,70.77,14.92,30.07
1.6to2.0,20.93,69.18,12.91,22.65
1.6to2.1,21.2,70.31,15.01,20.99
1.6to2.2,21.68,69.81,12.16,20.77
1.6to2.3,21.49,68.99,16.39,23.07
1.6to2.4,21.87,70.13,13.31,15.98
1.6to2.5,22.0,68.39,16.85,8.71
1.6to2.6,21.62,66.56,15.98,11.25
1.6to2.7,21.88,63.61,19.21,3.02
1.6to2.8,20.51,58.13,17.31,10.78
1.6to2.9,20.04,52.43,18.5,13.08
1.6to3.0,17.07,42.71,16.79,12.23
1.7to0.1,11.17,24.69,19.26,36.0
1.7to0.2,11.62,34.5,49.09,33.32
1.7to0.3,10.7,36.76,29.86,34.27
1.7to0.4,10.9,37.37,13.79,30.34
1.7to0.5,10.85,40.02,17.12,31.2
1.7to0.6,10.57,42.87,13.18,18.61
1.7to0.7,10.87,43.7,15.06,24.4
1.7to0.8,12.46,48.98,16.05,17.81
1.7to0.9,12.53,47.31,15.51,26.32
1.7to1.0,12.6,48.68,18.28,19.27
1.7to1.1,14.82,53.64,12.72,27.21
1.7to1.2,14.42,53.59,18.48,30.66
1.7to1.3,16.27,59.94,17.95,33.87
1.7to1.4,16.54,59.92,14.92,29.18
1.7to1.5,17.04,61.55,16.5,34.93
1.7to1.6,17.44,61.45,12.53,26.54
1.7to1.7,18.61,64.74,12.25,30.83
1.7to1.8,19.16,66.5,12.0,22.75
1.7to1.9,19.94,68.5,14.31,29.7
1.7to2.0,20.0,67.13,17.76,29.17
1.7to2.1,20.4,68.74,14.8,27.34
1.7to2.2,20.83,69.51,13.84,21.52
1.7to2.3,20.73,68.16,13.12,25.72
1.7to2.4,21.32,68.52,20.72,17.26
1.7to2.5,21.06,67.11,13.2,20.01
1.7to2.6,20.87,64.15,20.11,2.26
1.7to2.7,21.12,63.02,19.61,20.03
1.7to2.8,19.38,55.62,17.07,13.15
1.7to2.9,18.75,50.74,22.58,11.96
1.7to3.0,16.09,41.5,22.99,9.15
1.8to0.1,10.13,17.42,23.83,32.34
1.8to0.2,11.44,32.79,32.32,33.58
1.8to0.3,10.45,37.88,28.23,30.9
1.8to0.4,10.42,38.4,16.98,30.9
1.8to0.5,10.69,41.71,19.75,25.83
1.8to0.6,10.1,40.89,15.23,27.11
1.8to0.7,10.54,42.46,12.25,20.31
1.8to0.8,11.87,48.39,12.03,15.75
1.8to0.9,12.08,46.69,14.61,19.28
1.8to1.0,12.07,48.22,22.62,19.48
1.8to1.1,14.23,53.37,12.24,28.35
1.8to1.2,13.64,53.1,15.52,22.09
1.8to1.3,15.34,56.48,14.75,28.37
1.8to1.4,15.65,58.08,17.12,29.2
1.8to1.5,16.25,60.9,16.13,35.07
1.8to1.6,16.52,60.87,13.85,28.66
1.8to1.7,17.19,62.82,11.53,26.64
1.8to1.8,18.44,64.66,14.08,26.21
1.8to1.9,19.15,66.81,12.31,28.68
1.8to2.0,19.18,65.75,13.03,26.62
1.8to2.1,19.2,65.27,11.76,24.24
1.8to2.2,19.72,66.82,15.28,25.48
1.8to2.3,19.7,65.56,15.35,19.61
1.8to2.4,20.21,65.84,13.0,23.14
1.8to2.5,20.15,65.78,14.82,19.44
1.8to2.6,20.13,63.55,19.16,4.53
1.8to2.7,19.47,62.09,22.31,0.1
1.8to2.8,18.16,53.65,20.27,11.25
1.8to2.9,18.03,49.92,21.91,12.54
1.8to3.0,15.16,40.39,17.02,14.82
1.9to0.1,10.74,21.7,26.95,38.69
1.9to0.2,11.42,31.05,30.46,35.78
1.9to0.3,10.38,37.22,20.48,27.79
1.9to0.4,10.03,36.27,24.31,31.67
1.9to0.5,10.37,43.46,24.53,25.11
1.9to0.6,9.96,41.09,22.39,25.44
1.9to0.7,10.09,42.89,13.68,23.96
1.9to0.8,11.18,46.07,11.86,24.33
1.9to0.9,11.49,45.86,12.9,20.78
1.9to1.0,11.68,48.18,10.32,20.48
1.9to1.1,13.48,51.39,11.13,31.27
1.9to1.2,12.73,51.48,18.51,29.07
1.9to1.3,14.95,56.83,14.44,26.12
1.9to1.4,15.04,57.27,17.07,30.75
1.9to1.5,15.45,59.21,16.04,29.89
1.9to1.6,15.45,59.64,21.99,20.52
1.9to1.7,16.35,60.94,14.46,28.19
1.9to1.8,17.47,62.8,15.64,30.18
1.9to1.9,17.96,64.59,12.74,29.9
1.9to2.0,18.64,65.19,15.01,33.48
1.9to2.1,18.68,64.62,13.01,23.15
1.9to2.2,19.04,64.9,13.63,21.39
1.9to2.3,18.83,64.2,16.69,27.58
1.9to2.4,19.33,64.73,17.58,27.65
1.9to2.5,19.14,64.1,12.25,19.49
1.9to2.6,19.34,61.96,14.98,14.69
1.9to2.7,18.91,60.07,23.08,10.08
1.9to2.8,17.36,53.09,16.92,10.52
1.9to2.9,17.19,48.32,18.88,8.4
1.9to3.0,14.45,38.43,14.24,13.24
2.0to0.1,10.15,16.72,28.26,33.47
2.0to0.2,11.2,37.7,26.84,34.89
2.0to0.3,10.09,36.27,21.39,24.25
2.0to0.4,9.86,38.5,41.1,27.31
2.0to0.5,10.16,42.43,17.17,28.53
2.0to0.6,10.14,42.86,18.6,24.5
2.0to0.7,10.05,41.72,12.7,26.93
2.0to0.8,11.03,45.27,16.33,26.26
2.0to0.9,11.48,47.91,10.98,19.8
2.0to1.0,11.52,49.14,12.93,10.58
2.0to1.1,13.39,52.71,16.88,21.41
