,Sharpness,Contrast,NIQE,BRISQUE
0.1to0.1,17.97,70.79,13.05,13.29
0.1to0.2,9.43,38.81,65.61,10.17
0.1to0.3,9.81,42.95,21.12,6.99
0.1to0.4,9.64,42.12,25.78,13.1
0.1to0.5,9.37,38.34,22.12,18.51
0.1to0.6,9.2,36.54,27.22,19.39
0.1to0.7,9.04,32.81,35.4,18.04
0.1to0.8,8.27,28.23,27.02,13.49
0.1to0.9,8.71,27.97,28.23,15.17
0.1to1.0,8.21,24.17,24.68,16.61
0.1to1.1,8.23,23.05,29.68,17.53
0.1to1.2,8.48,23.03,33.08,16.04
0.1to1.3,8.27,23.58,20.72,21.05
0.1to1.4,8.06,19.36,33.96,18.59
0.1to1.5,7.89,21.18,34.94,17.49
0.1to1.6,7.45,17.01,42.08,16.28
0.1to1.7,7.14,15.07,30.39,18.79
0.1to1.8,6.99,16.3,24.03,12.89
0.1to1.9,7.22,13.08,31.71,19.68
0.1to2.0,7.16,13.32,38.49,20.01
0.1to2.1,7.14,12.69,42.9,19.84
0.1to2.2,7.01,13.44,39.83,22.08
0.1to2.3,7.14,13.72,39.89,23.24
0.1to2.4,7.11,13.23,41.2,21.39
0.1to2.5,7.09,13.95,43.16,22.9
0.1to2.6,7.24,14.32,21.93,18.53
0.1to2.7,7.78,16.37,39.42,22.19
0.1to2.8,8.82,19.18,18.09,28.22
0.1to2.9,8.97,21.56,37.71,22.44
0.1to3.0,8.97,21.28,30.45,17.71
0.2to0.1,11.79,22.51,22.56,34.46
0.2to0.2,18.82,67.73,12.78,17.35
0.2to0.3,15.28,57.01,16.14,29.33
0.2to0.4,15.71,63.09,24.14,28.13
0.2to0.5,14.63,53.51,31.73,12.45
0.2to0.6,14.2,52.74,20.71,17.9
0.2to0.7,15.2,50.51,32.46,34.21
0.2to0.8,14.46,48.02,26.23,25.64
0.2to0.9,15.07,51.24,15.51,25.98
0.2to1.0,13.77,44.59,15.43,33.87
0.2to1.1,14.25,47.89,11.17,28.66
0.2to1.2,13.85,46.76,9.71,26.3
0.2to1.3,14.28,48.12,11.65,33.7
0.2to1.4,14.21,49.99,16.87,32.14
0.2to1.5,14.74,48.67,18.75,39.93
0.2to1.6,14.04,49.65,17.75,35.9
0.2to1.7,15.03,45.59,13.49,51.75
0.2to1.8,15.63,50.61,21.55,45.08
0.2to1.9,17.28,49.72,19.05,55.84
0.2to2.0,16.24,50.76,15.22,46.94
0.2to2.1,16.35,50.06,13.66,43.81
0.2to2.2,17.48,52.61,17.32,49.92
0.2to2.3,17.85,48.34,25.2,57.16
0.2to2.4,16.58,48.25,11.25,44.59
0.2to2.5,16.9,47.51,13.6,48.06
0.2to2.6,17.74,46.91,20.21,45.29
0.2to2.7,17.22,43.07,18.27,47.91
0.2to2.8,17.52,45.0,12.89,39.11
0.2to2.9,16.57,39.95,15.73,49.03
0.2to3.0,13.47,28.56,15.72,38.47
0.3to0.1,14.91,31.81,15.17,30.45
0.3to0.2,13.53,42.22,23.19,22.13
0.3to0.3,18.9,64.73,14.76,20.9
