,Sharpness,Contrast,NIQE,BRISQUE
0.1to0.1,18.49,70.6,13.13,10.24
0.1to0.2,9.93,39.78,30.31,5.41
0.1to0.3,10.38,43.21,26.97,8.87
0.1to0.4,10.14,42.77,40.37,8.71
0.1to0.5,9.98,40.45,16.8,15.09
0.1to0.6,9.87,38.36,34.31,13.66
0.1to0.7,9.68,34.1,36.34,15.11
0.1to0.8,8.97,29.7,31.95,7.96
0.1to0.9,9.35,29.49,43.72,12.55
0.1to1.0,8.85,25.57,31.96,14.17
0.1to1.1,8.83,23.89,37.18,15.83
0.1to1.2,9.06,23.79,41.56,15.78
0.1to1.3,8.88,24.76,33.42,17.46
0.1to1.4,8.63,20.01,46.72,16.02
0.1to1.5,8.48,22.32,49.5,14.18
0.1to1.6,8.05,17.76,46.79,14.25
0.1to1.7,7.74,15.74,26.24,18.96
0.1to1.8,7.6,16.78,30.32,9.73
0.1to1.9,7.82,13.65,40.23,17.07
0.1to2.0,7.72,13.83,44.15,19.58
0.1to2.1,7.72,13.18,46.52,18.38
0.1to2.2,7.55,13.54,35.22,22.6
0.1to2.3,7.64,13.79,49.57,22.69
0.1to2.4,7.61,13.38,32.88,20.21
0.1to2.5,7.64,14.82,44.57,19.8
0.1to2.6,7.83,15.05,24.06,17.59
0.1to2.7,8.41,17.7,41.53,20.32
0.1to2.8,9.47,20.0,20.96,25.69
0.1to2.9,9.52,22.32,51.69,22.56
0.1to3.0,9.6,22.13,45.56,14.45
0.2to0.1,12.45,22.49,19.42,35.06
0.2to0.2,19.17,67.51,14.64,15.49
0.2to0.3,15.81,56.76,23.88,23.92
0.2to0.4,16.19,63.02,16.75,23.09
0.2to0.5,15.15,53.39,39.06,11.41
0.2to0.6,14.79,53.05,16.06,16.38
0.2to0.7,15.96,50.94,39.59,34.42
0.2to0.8,15.15,48.62,28.79,28.18
0.2to0.9,15.8,52.11,26.65,29.48
0.2to1.0,14.38,45.46,19.36,34.61
0.2to1.1,14.91,48.89,13.75,31.15
0.2to1.2,14.4,47.25,15.61,26.55
0.2to1.3,14.84,48.91,14.05,34.04
0.2to1.4,14.81,51.55,17.58,30.01
