,Sharpness,Contrast,NIQE,BRISQUE
0.1to0.1,12.62,57.92,13.73,39.56
0.1to0.2,5.95,33.76,24.76,21.94
0.1to0.3,5.81,33.67,60.17,26.59
0.1to0.4,6.16,36.35,56.35,21.02
0.1to0.5,6.36,35.64,88.57,31.49
0.1to0.6,6.12,35.14,68.69,29.51
0.1to0.7,5.68,31.59,36.86,34.53
0.1to0.8,5.13,27.13,60.15,30.47
0.1to0.9,5.55,26.63,55.91,35.81
0.1to1.0,5.07,24.28,56.84,35.42
0.1to1.1,4.69,23.39,35.87,31.74
0.1to1.2,4.72,21.64,34.06,35.25
0.1to1.3,4.69,20.86,69.76,45.96
0.1to1.4,4.03,15.87,54.43,36.54
0.1to1.5,4.26,18.39,50.67,46.09
0.1to1.6,3.71,13.16,52.09,39.64
0.1to1.7,3.27,12.75,68.13,26.18
0.1to1.8,3.28,12.77,71.48,24.35
0.1to1.9,3.32,9.31,84.56,35.82
0.1to2.0,3.49,10.07,87.63,31.18
0.1to2.1,3.27,8.87,66.61,40.16
0.1to2.2,3.23,7.92,73.9,39.41
0.1to2.3,3.32,8.07,94.32,36.2
0.1to2.4,3.16,8.42,56.27,35.07
0.1to2.5,3.4,11.15,75.47,26.08
0.1to2.6,3.48,11.76,87.86,26.58
0.1to2.7,3.73,11.46,77.35,33.64
0.1to2.8,3.94,11.91,69.82,33.96
0.1to2.9,4.6,14.45,64.73,45.08
0.1to3.0,4.6,16.12,59.15,45.23
0.2to0.1,7.07,21.32,26.32,37.92
0.2to0.2,13.39,56.47,15.85,38.6
0.2to0.3,10.22,47.94,16.33,49.5
0.2to0.4,11.86,51.4,38.19,53.48
0.2to0.5,9.92,43.2,21.12,41.37
0.2to0.6,10.3,43.53,19.9,38.59
0.2to0.7,9.01,38.42,25.95,34.43
0.2to0.8,9.06,36.88,29.82,32.14
0.2to0.9,9.39,38.58,23.28,36.97
0.2to1.0,9.79,37.25,39.16,42.28
0.2to1.1,10.27,41.42,19.62,42.22
0.2to1.2,9.92,38.92,36.51,44.96
0.2to1.3,10.34,38.93,37.54,47.75
0.2to1.4,10.48,39.96,32.93,48.93
0.2to1.5,11.06,40.87,26.5,49.15
0.2to1.6,10.25,41.68,54.09,40.85
0.2to1.7,13.05,44.91,27.12,55.36
0.2to1.8,12.58,44.96,28.03,54.93
0.2to1.9,14.96,47.17,33.83,53.42
0.2to2.0,13.98,46.68,46.0,53.71
0.2to2.1,13.62,47.58,40.39,49.89
0.2to2.2,15.0,47.85,42.2,50.06
0.2to2.3,15.5,47.71,23.1,55.53
0.2to2.4,14.96,47.72,85.95,52.13
0.2to2.5,15.33,47.92,86.95,54.93
0.2to2.6,16.31,49.3,80.01,52.93
0.2to2.7,15.87,46.69,76.32,53.62
0.2to2.8,15.8,45.83,62.08,54.56
0.2to2.9,15.2,43.23,29.42,55.9
0.2to3.0,11.62,30.22,52.1,45.84
0.3to0.1,8.56,18.84,18.72,45.21
0.3to0.2,8.46,40.37,29.84,33.24
0.3to0.3,13.63,56.2,15.37,40.58
0.3to0.4,15.54,66.71,32.21,53.32
0.3to0.5,16.23,68.33,30.3,48.34
0.3to0.6,15.62,64.46,19.48,54.53
0.3to0.7,14.95,63.36,22.33,45.91
0.3to0.8,15.17,60.74,24.71,52.9
0.3to0.9,15.78,63.89,17.3,51.49
0.3to1.0,15.26,58.79,33.89,53.32
0.3to1.1,15.24,57.98,24.35,42.72
0.3to1.2,14.89,56.78,19.44,49.99
0.3to1.3,15.3,58.38,23.94,45.76
0.3to1.4,15.58,60.89,27.54,46.56
0.3to1.5,15.0,60.52,22.86,50.06
0.3to1.6,14.63,56.54,23.9,42.34
0.3to1.7,14.89,58.45,20.39,38.31
0.3to1.8,14.35,53.09,25.59,39.01
0.3to1.9,14.32,54.46,27.11,36.47
0.3to2.0,13.71,51.78,16.44,43.07
0.3to2.1,14.7,52.57,26.83,42.74
0.3to2.2,14.14,56.7,15.63,40.32
0.3to2.3,13.91,55.33,25.3,33.9
0.3to2.4,14.22,55.03,18.69,39.31
0.3to2.5,14.5,55.42,21.86,35.64
0.3to2.6,13.16,48.07,30.27,37.66
0.3to2.7,13.33,46.83,27.59,29.57
0.3to2.8,13.36,39.9,44.93,33.69
0.3to2.9,12.74,36.01,23.99,40.44
0.3to3.0,11.94,29.06,39.24,34.48
0.4to0.1,9.08,20.72,29.8,44.76
0.4to0.2,9.66,38.01,61.19,33.19
0.4to0.3,8.25,39.77,18.65,28.87
0.4to0.4,13.42,55.63,14.27,45.63
0.4to0.5,15.01,59.03,19.57,54.97
0.4to0.6,14.29,59.03,29.27,45.36
0.4to0.7,14.21,60.9,28.2,49.64
0.4to0.8,13.9,58.74,20.18,42.58
0.4to0.9,14.69,58.93,23.59,46.8
0.4to1.0,14.72,55.19,20.49,41.09
0.4to1.1,14.92,60.39,26.0,39.27
0.4to1.2,14.01,53.15,22.89,39.75
0.4to1.3,15.34,59.21,23.3,41.87
0.4to1.4,15.33,60.3,18.24,45.69
0.4to1.5,15.09,55.63,25.59,42.16
0.4to1.6,15.18,54.73,19.25,43.82
0.4to1.7,14.85,53.17,18.94,37.99
0.4to1.8,15.7,58.77,33.49,43.65
0.4to1.9,14.92,55.92,33.89,35.8
0.4to2.0,14.82,54.72,24.3,34.97
0.4to2.1,15.71,58.72,22.8,33.85
0.4to2.2,15.75,57.48,34.16,39.3
0.4to2.3,15.06,56.67,28.76,30.32
0.4to2.4,14.98,55.53,30.11,35.08
0.4to2.5,15.59,56.99,23.55,35.75
0.4to2.6,14.83,50.63,14.25,32.14
0.4to2.7,16.01,49.7,20.7,37.44
0.4to2.8,15.63,48.59,19.77,29.54
0.4to2.9,16.2,46.0,13.21,33.52
0.4to3.0,14.57,37.88,21.5,35.01
0.5to0.1,7.28,14.51,54.12,28.6
0.5to0.2,10.37,38.85,54.37,44.69
0.5to0.3,8.09,36.19,36.48,24.42
0.5to0.4,8.74,43.22,21.19,36.18
0.5to0.5,12.99,54.9,16.94,45.98
0.5to0.6,14.83,57.28,21.36,52.36
0.5to0.7,16.58,61.8,26.77,46.47
0.5to0.8,18.4,62.39,24.51,46.57
0.5to0.9,19.35,64.01,29.72,47.59
0.5to1.0,18.82,61.56,21.41,46.77
0.5to1.1,19.75,66.85,26.62,43.11
0.5to1.2,20.22,66.44,23.24,42.97
0.5to1.3,20.34,68.07,29.98,43.11
0.5to1.4,20.88,69.56,21.93,41.16
0.5to1.5,20.62,66.84,20.15,45.21
0.5to1.6,21.02,66.83,24.93,45.55
0.5to1.7,21.42,68.42,28.77,38.89
0.5to1.8,21.88,68.86,23.51,43.96
0.5to1.9,22.13,70.09,21.64,42.88
0.5to2.0,21.77,68.01,22.74,41.14
0.5to2.1,22.01,68.95,25.87,42.66
0.5to2.2,21.81,68.05,32.51,39.17
0.5to2.3,21.95,70.27,30.96,40.28
0.5to2.4,22.26,68.27,32.85,42.65
0.5to2.5,21.99,73.16,28.16,36.97
0.5to2.6,22.36,72.99,36.51,37.59
0.5to2.7,22.59,71.12,25.48,39.05
0.5to2.8,22.93,67.36,37.52,40.3
0.5to2.9,22.41,67.07,22.61,35.57
0.5to3.0,21.94,63.02,29.68,32.22
0.6to0.1,7.64,15.47,62.63,36.5
0.6to0.2,11.85,41.06,59.56,40.85
0.6to0.3,8.55,38.66,52.47,24.34
0.6to0.4,8.03,39.64,21.18,25.31
0.6to0.5,10.91,50.93,23.31,41.86
0.6to0.6,13.05,54.48,15.83,41.15
0.6to0.7,14.51,59.01,23.02,43.11
0.6to0.8,16.1,60.66,24.35,44.32
0.6to0.9,17.11,58.66,23.4,47.34
0.6to1.0,17.26,57.68,34.46,48.8
0.6to1.1,18.5,64.78,28.77,41.94
0.6to1.2,18.12,59.44,24.77,47.34
0.6to1.3,20.9,68.49,24.18,40.17
0.6to1.4,20.91,69.28,31.05,38.23
0.6to1.5,20.53,66.91,23.45,39.77
0.6to1.6,19.97,69.4,22.68,36.01
0.6to1.7,21.21,75.4,23.35,29.63
0.6to1.8,20.91,73.67,25.93,32.39
0.6to1.9,21.25,77.69,24.77,32.04
0.6to2.0,21.19,76.83,28.83,30.78
0.6to2.1,21.28,77.71,24.93,30.25
0.6to2.2,21.56,77.92,33.7,30.95
0.6to2.3,20.76,79.89,34.73,26.02
0.6to2.4,21.09,78.03,33.05,27.89
0.6to2.5,21.98,74.62,21.89,31.18
0.6to2.6,21.99,73.33,22.13,32.91
0.6to2.7,21.71,68.25,20.89,21.16
0.6to2.8,21.16,59.66,24.33,33.09
0.6to2.9,19.88,54.99,28.25,32.5
0.6to3.0,17.92,48.62,19.33,34.59
0.7to0.1,6.29,12.97,58.68,22.85
0.7to0.2,9.14,51.94,67.46,24.95
0.7to0.3,8.51,47.31,33.17,25.15
0.7to0.4,7.71,42.36,30.06,29.92
0.7to0.5,7.73,42.21,22.25,37.35
0.7to0.6,10.01,47.71,14.92,50.76
0.7to0.7,12.62,56.06,15.0,43.61
0.7to0.8,14.4,61.47,26.88,37.63
0.7to0.9,15.7,59.46,33.62,36.72
0.7to1.0,16.65,63.84,27.74,28.12
