,Sharpness,Contrast,NIQE,BRISQUE
0.7to1.1,18.16,66.8,19.58,29.09
0.7to1.2,18.53,67.71,20.46,29.44
0.7to1.3,19.99,71.21,22.95,27.35
0.7to1.4,19.6,70.81,30.79,28.69
0.7to1.5,19.58,70.94,31.16,29.41
0.7to1.6,20.68,72.67,27.19,23.47
0.7to1.7,21.46,74.16,19.43,23.22
0.7to1.8,21.38,74.57,18.48,24.75
0.7to1.9,21.74,76.13,22.99,29.15
0.7to2.0,21.43,76.66,22.0,26.97
0.7to2.1,21.53,77.99,21.57,26.72
0.7to2.2,22.06,76.73,29.01,26.23
0.7to2.3,21.3,79.03,22.49,23.3
0.7to2.4,21.73,77.04,20.24,23.84
0.7to2.5,22.71,73.99,19.85,29.32
0.7to2.6,22.04,72.67,22.57,26.92
0.7to2.7,22.2,69.15,22.23,22.07
0.7to2.8,21.57,60.9,21.57,32.04
0.7to2.9,19.56,54.33,19.13,30.45
0.7to3.0,18.48,49.97,27.17,35.17
0.8to0.1,5.54,12.91,47.1,23.3
0.8to0.2,8.24,49.77,29.01,21.84
0.8to0.3,6.99,41.8,16.68,26.36
0.8to0.4,6.85,41.97,27.95,19.48
0.8to0.5,6.91,39.45,22.22,38.6
0.8to0.6,8.84,46.02,16.4,53.34
0.8to0.7,9.98,50.3,13.59,50.36
0.8to0.8,12.61,56.79,15.24,43.06
0.8to0.9,13.35,55.62,18.84,37.41
0.8to1.0,14.6,60.7,28.11,33.13
0.8to1.1,16.17,63.7,31.25,25.34
0.8to1.2,17.11,66.39,21.4,24.07
0.8to1.3,18.54,67.95,32.95,27.04
0.8to1.4,18.85,68.27,24.5,26.67
0.8to1.5,19.67,69.6,19.6,26.07
0.8to1.6,20.34,72.14,24.17,23.18
0.8to1.7,20.89,75.34,20.2,25.34
0.8to1.8,21.14,75.28,28.39,26.29
0.8to1.9,21.5,76.31,20.84,20.82
0.8to2.0,22.12,73.78,20.93,23.43
0.8to2.1,22.12,76.91,20.78,29.54
0.8to2.2,22.28,78.07,21.2,21.54
0.8to2.3,21.97,79.05,27.8,18.26
0.8to2.4,22.49,77.48,22.88,24.09
0.8to2.5,22.22,74.25,22.8,22.42
0.8to2.6,22.97,72.25,30.44,31.79
0.8to2.7,23.05,68.05,23.01,35.65
0.8to2.8,21.48,61.41,31.79,27.76
0.8to2.9,19.51,53.15,24.21,28.15
0.8to3.0,17.37,46.53,26.39,21.74
0.9to0.1,5.4,12.08,20.07,23.01
0.9to0.2,7.5,30.19,59.92,40.54
0.9to0.3,6.68,32.62,67.8,29.16
0.9to0.4,5.65,28.69,24.87,29.45
0.9to0.5,6.19,37.03,16.76,39.26
0.9to0.6,8.16,45.55,12.27,54.7
0.9to0.7,8.92,49.12,14.93,52.61
0.9to0.8,10.54,53.39,20.35,43.79
0.9to0.9,12.51,57.3,15.23,43.77
0.9to1.0,13.3,59.05,29.41,38.05
0.9to1.1,15.08,62.03,24.47,35.43
0.9to1.2,15.32,63.76,26.59,26.43
0.9to1.3,16.85,66.9,42.67,23.17
0.9to1.4,17.36,68.58,19.44,21.19
0.9to1.5,18.58,68.6,32.32,24.65
0.9to1.6,19.1,71.16,36.14,25.03
0.9to1.7,20.36,73.65,22.0,27.01
0.9to1.8,20.51,72.3,24.98,26.07
0.9to1.9,21.64,75.76,22.05,25.76
0.9to2.0,21.58,75.66,27.49,28.24
0.9to2.1,22.1,75.69,20.88,22.05
0.9to2.2,22.1,77.4,18.53,25.33
0.9to2.3,21.93,79.25,22.06,22.09
0.9to2.4,22.38,77.37,21.92,25.49
0.9to2.5,21.85,73.47,26.15,27.37
0.9to2.6,22.03,71.6,25.09,29.83
0.9to2.7,21.68,68.23,31.42,20.35
0.9to2.8,19.41,57.26,30.14,27.02
0.9to2.9,17.96,50.37,27.79,30.13
0.9to3.0,15.16,43.11,28.44,21.4
1.0to0.1,4.37,9.97,43.38,10.0
1.0to0.2,6.15,35.19,77.56,18.39
1.0to0.3,5.48,32.06,82.13,22.63
1.0to0.4,5.12,32.24,62.7,20.79
1.0to0.5,5.53,35.83,15.72,43.6
1.0to0.6,7.02,42.05,18.44,57.33
1.0to0.7,7.88,46.32,12.14,55.44
1.0to0.8,9.44,50.76,16.92,47.2
1.0to0.9,10.71,52.8,17.49,47.75
1.0to1.0,12.61,57.78,15.04,40.22
1.0to1.1,13.52,60.2,19.08,35.65
1.0to1.2,14.33,61.62,23.89,35.04
1.0to1.3,15.43,64.18,22.67,23.09
1.0to1.4,16.04,65.34,32.77,19.93
1.0to1.5,16.7,66.63,32.32,17.16
1.0to1.6,17.78,68.63,27.75,16.89
1.0to1.7,19.1,72.47,32.35,20.19
1.0to1.8,19.43,72.26,26.22,19.49
1.0to1.9,20.3,75.22,29.23,15.02
1.0to2.0,20.65,73.16,28.86,22.93
1.0to2.1,21.04,76.2,28.0,21.02
1.0to2.2,21.59,77.01,27.02,17.54
1.0to2.3,21.81,77.01,19.45,18.82
1.0to2.4,21.9,75.24,23.35,21.85
1.0to2.5,21.1,72.9,22.42,21.23
1.0to2.6,21.59,70.79,22.93,20.81
1.0to2.7,20.55,66.0,22.91,18.49
1.0to2.8,17.41,53.86,31.78,21.83
1.0to2.9,15.75,47.26,47.5,20.13
1.0to3.0,13.28,39.27,28.32,16.04
1.1to0.1,4.01,9.31,47.98,16.1
1.1to0.2,4.84,30.05,44.35,12.86
1.1to0.3,4.29,31.09,23.62,10.94
1.1to0.4,4.38,32.62,33.57,25.26
1.1to0.5,5.2,34.76,12.79,49.81
1.1to0.6,6.55,40.28,15.72,57.02
1.1to0.7,6.89,42.75,18.66,55.41
1.1to0.8,8.33,46.86,20.92,53.3
1.1to0.9,9.35,48.68,18.32,49.3
1.1to1.0,10.44,52.83,17.87,45.77
1.1to1.1,12.56,58.46,13.48,36.13
1.1to1.2,12.78,59.32,23.82,35.26
1.1to1.3,14.21,62.85,25.91,33.04
1.1to1.4,14.75,63.33,25.85,28.19
1.1to1.5,15.58,65.6,28.45,29.08
1.1to1.6,16.39,68.29,22.68,20.69
1.1to1.7,17.79,71.97,23.18,18.02
1.1to1.8,18.16,72.18,21.66,21.72
1.1to1.9,19.31,74.49,25.96,14.0
1.1to2.0,19.81,74.19,30.46,17.34
1.1to2.1,19.97,75.56,29.7,18.5
1.1to2.2,20.58,77.27,36.43,20.91
1.1to2.3,20.6,77.09,30.54,20.97
1.1to2.4,20.9,75.83,32.93,23.97
1.1to2.5,19.62,71.23,28.9,13.09
1.1to2.6,19.84,69.07,37.9,16.88
1.1to2.7,18.36,62.95,36.84,18.14
1.1to2.8,15.78,52.22,39.3,17.81
1.1to2.9,14.06,45.57,44.77,17.51
1.1to3.0,11.61,36.27,36.97,13.87
1.2to0.1,3.48,7.18,48.51,14.83
1.2to0.2,4.34,26.41,20.63,9.64
1.2to0.3,3.84,29.11,30.77,16.01
1.2to0.4,3.98,30.96,15.68,27.41
1.2to0.5,4.81,34.46,12.67,52.5
1.2to0.6,6.02,39.23,15.51,59.15
1.2to0.7,6.63,42.37,16.73,60.74
1.2to0.8,7.97,46.17,18.25,54.57
1.2to0.9,8.93,48.09,22.23,50.93
1.2to1.0,10.04,51.83,26.44,46.47
1.2to1.1,11.37,55.92,24.41,44.29
1.2to1.2,12.45,58.22,13.63,36.53
1.2to1.3,13.25,61.14,25.71,37.18
1.2to1.4,13.72,61.43,31.02,33.87
1.2to1.5,14.6,63.74,30.09,28.74
1.2to1.6,15.3,65.35,23.57,26.2
1.2to1.7,16.48,69.17,33.67,22.2
1.2to1.8,16.81,68.77,32.79,21.71
1.2to1.9,18.03,71.87,34.55,21.39
1.2to2.0,18.44,72.02,29.91,17.0
1.2to2.1,18.8,73.43,32.27,18.78
1.2to2.2,19.57,75.52,33.45,18.29
1.2to2.3,19.56,75.35,29.74,19.27
1.2to2.4,19.63,73.77,24.48,15.78
1.2to2.5,18.08,68.38,23.56,12.86
1.2to2.6,18.1,64.96,30.34,16.09
1.2to2.7,16.63,59.7,33.6,11.81
1.2to2.8,14.08,49.46,46.1,13.11
1.2to2.9,12.38,42.48,39.28,14.78
1.2to3.0,10.45,34.51,42.54,14.56
1.3to0.1,3.03,6.1,48.01,14.83
1.3to0.2,3.39,23.54,25.13,9.83
1.3to0.3,3.29,26.16,25.85,18.12
1.3to0.4,3.63,30.24,32.99,36.99
1.3to0.5,4.57,33.5,15.39,55.98
1.3to0.6,5.47,37.04,15.66,62.31
1.3to0.7,6.1,39.46,13.06,61.0
1.3to0.8,7.23,42.79,23.08,54.66
1.3to0.9,8.14,45.53,26.46,50.75
1.3to1.0,9.15,49.0,25.89,48.03
1.3to1.1,10.4,53.06,30.61,46.21
1.3to1.2,10.99,54.83,35.58,44.54
1.3to1.3,12.48,58.35,12.82,36.02
1.3to1.4,12.4,58.62,33.11,41.22
1.3to1.5,13.13,60.78,27.15,35.66
1.3to1.6,13.78,62.43,28.46,35.65
1.3to1.7,14.84,65.51,20.6,27.13
1.3to1.8,15.03,65.09,26.46,26.77
1.3to1.9,16.03,67.98,27.35,22.23
1.3to2.0,16.35,68.28,29.27,23.31
1.3to2.1,16.74,69.76,31.68,20.91
1.3to2.2,17.66,72.11,31.21,21.28
1.3to2.3,17.56,71.58,31.54,21.19
1.3to2.4,17.49,70.02,26.32,18.92
1.3to2.5,16.1,64.37,22.26,17.01
1.3to2.6,15.98,60.97,28.56,18.11
1.3to2.7,14.68,56.08,27.06,17.48
1.3to2.8,12.58,46.24,23.67,11.67
1.3to2.9,10.98,39.95,33.69,19.04
1.3to3.0,9.23,32.72,28.63,14.82
1.4to0.1,2.85,5.83,33.28,12.0
1.4to0.2,3.22,21.92,28.85,14.53
1.4to0.3,3.14,26.0,24.67,23.31
1.4to0.4,3.46,29.1,24.73,42.82
1.4to0.5,4.5,33.7,14.14,59.43
1.4to0.6,5.39,37.53,18.3,64.81
1.4to0.7,6.07,39.81,13.62,61.59
1.4to0.8,7.15,43.11,19.84,57.07
1.4to0.9,7.99,45.73,23.69,51.81
1.4to1.0,9.02,49.19,26.09,50.76
1.4to1.1,10.13,52.57,28.1,45.94
1.4to1.2,10.77,54.62,39.3,45.8
1.4to1.3,11.74,57.61,40.67,46.78
1.4to1.4,12.49,58.39,13.46,33.87
1.4to1.5,12.7,59.89,35.05,40.05
1.4to1.6,13.27,61.43,26.13,36.35
1.4to1.7,14.23,64.39,25.68,32.56
1.4to1.8,14.35,63.93,22.4,30.89
1.4to1.9,15.22,66.75,25.79,27.69
1.4to2.0,15.5,67.1,28.6,23.68
1.4to2.1,15.92,68.21,33.67,23.61
1.4to2.2,16.53,70.6,32.04,25.74
1.4to2.3,16.49,69.91,24.34,23.45
1.4to2.4,16.46,68.64,26.62,23.94
1.4to2.5,14.9,62.59,26.84,20.08
1.4to2.6,14.79,59.43,24.63,22.02
1.4to2.7,13.65,54.51,21.05,17.13
1.4to2.8,11.58,45.18,31.59,15.15
1.4to2.9,10.17,38.88,28.8,17.54
1.4to3.0,8.72,31.77,28.03,16.01
1.5to0.1,2.56,5.31,48.73,10.53
1.5to0.2,2.97,21.61,15.29,14.41
1.5to0.3,2.96,25.03,25.66,28.58
1.5to0.4,3.36,29.48,26.29,44.46
1.5to0.5,4.26,33.22,17.44,62.32
1.5to0.6,5.1,36.56,18.53,68.45
1.5to0.7,5.84,38.7,18.37,64.14
1.5to0.8,6.9,42.37,21.82,57.26
1.5to0.9,7.67,44.63,33.18,53.7
1.5to1.0,8.67,48.11,26.79,51.92
1.5to1.1,9.72,51.54,29.39,48.31
1.5to1.2,10.37,53.47,42.25,50.87
1.5to1.3,11.24,56.41,40.67,49.0
1.5to1.4,11.47,56.65,45.45,45.71
1.5to1.5,12.46,58.43,12.52,36.5
1.5to1.6,12.52,59.72,33.79,38.85
1.5to1.7,13.44,62.59,27.17,34.0
1.5to1.8,13.48,62.08,28.21,30.64
1.5to1.9,14.21,64.5,27.99,30.21
1.5to2.0,14.37,64.68,36.49,31.65
1.5to2.1,14.78,65.89,31.44,24.51
1.5to2.2,15.37,67.96,33.44,23.1
1.5to2.3,15.39,67.63,28.59,22.17
1.5to2.4,15.19,65.83,28.5,24.18
1.5to2.5,14.1,60.59,25.8,18.79
1.5to2.6,13.77,57.25,20.97,16.28
1.5to2.7,12.6,52.36,22.76,19.17
1.5to2.8,10.7,43.31,26.84,15.47
1.5to2.9,9.36,37.49,30.08,27.39
1.5to3.0,8.06,30.79,29.03,18.88
1.6to0.1,2.5,5.53,39.98,9.97
1.6to0.2,2.71,18.08,21.81,12.36
1.6to0.3,2.79,22.92,32.99,29.63
1.6to0.4,3.2,28.12,32.38,44.05
1.6to0.5,4.02,32.4,19.96,61.29
1.6to0.6,4.9,35.81,25.08,68.34
1.6to0.7,6.78,39.62,15.03,49.76
1.6to0.8,7.88,43.26,12.47,53.56
1.6to0.9,8.4,43.51,12.78,53.86
1.6to1.0,8.5,44.68,10.38,45.47
1.6to1.1,9.99,48.43,15.64,52.72
1.6to1.2,9.97,49.56,11.58,47.28
1.6to1.3,11.06,51.51,14.26,49.61
1.6to1.4,11.53,51.68,14.04,48.5
1.6to1.5,11.71,53.27,15.01,46.93
1.6to1.6,12.64,55.46,15.53,43.99
1.6to1.7,12.95,56.2,20.46,44.35
1.6to1.8,13.6,56.06,18.73,47.55
1.6to1.9,14.36,59.43,20.32,43.05
1.6to2.0,14.32,57.89,26.57,39.72
1.6to2.1,14.36,58.45,19.28,39.97
1.6to2.2,14.5,58.05,19.06,34.43
1.6to2.3,14.24,56.19,20.03,36.56
1.6to2.4,14.99,59.21,20.28,34.06
1.6to2.5,14.62,57.16,15.32,34.88
1.6to2.6,14.43,55.99,18.73,29.67
1.6to2.7,14.21,52.94,18.14,37.47
1.6to2.8,13.31,49.31,21.58,26.61
1.6to2.9,12.83,46.19,26.2,16.65
1.6to3.0,10.82,38.48,53.74,25.56
1.7to0.1,5.14,9.72,45.61,26.75
1.7to0.2,6.7,33.36,51.6,26.09
1.7to0.3,5.57,30.68,40.97,21.57
1.7to0.4,5.7,31.91,62.6,29.64
1.7to0.5,6.03,35.76,20.44,41.73
1.7to0.6,6.66,38.05,28.38,43.5
1.7to0.7,6.61,38.95,14.02,46.83
1.7to0.8,7.55,42.05,15.01,50.85
1.7to0.9,8.07,42.24,14.91,53.93
1.7to1.0,8.32,42.48,14.64,52.23
1.7to1.1,9.62,46.31,13.47,53.34
1.7to1.2,9.65,47.0,13.3,50.0
1.7to1.3,10.73,50.62,20.35,49.89
1.7to1.4,10.97,50.98,14.02,51.18
1.7to1.5,11.55,52.3,13.42,46.67
1.7to1.6,11.87,52.94,16.86,47.11
1.7to1.7,12.68,55.58,17.28,41.33
1.7to1.8,13.16,56.76,17.07,41.08
1.7to1.9,13.68,56.89,20.46,45.5
1.7to2.0,13.9,55.63,23.77,43.25
1.7to2.1,13.71,55.79,25.66,39.3
1.7to2.2,14.12,57.01,16.9,40.61
1.7to2.3,14.0,55.44,23.3,38.54
1.7to2.4,14.21,55.84,29.18,31.91
1.7to2.5,14.0,57.43,17.0,33.76
1.7to2.6,14.01,55.32,28.12,34.09
1.7to2.7,13.85,53.26,15.92,35.25
1.7to2.8,12.55,46.83,20.41,28.16
1.7to2.9,11.77,44.66,23.26,26.29
1.7to3.0,10.16,37.63,29.38,28.1
1.8to0.1,4.77,11.87,35.45,17.97
1.8to0.2,6.57,31.23,30.11,27.89
1.8to0.3,5.62,31.73,42.16,20.24
1.8to0.4,5.51,33.01,53.68,33.74
1.8to0.5,6.36,36.34,19.65,45.5
1.8to0.6,6.6,38.98,17.8,49.25
1.8to0.7,6.54,39.31,12.94,50.35
1.8to0.8,7.32,41.69,19.23,50.97
1.8to0.9,7.79,41.84,13.91,55.85
1.8to1.0,8.24,44.74,20.47,48.52
1.8to1.1,9.18,46.51,14.64,53.46
1.8to1.2,9.2,47.24,17.1,49.39
1.8to1.3,10.15,49.21,16.86,52.9
1.8to1.4,10.56,50.38,13.75,49.14
1.8to1.5,11.02,51.96,13.72,44.85
1.8to1.6,11.23,51.26,13.62,49.89
1.8to1.7,11.47,52.57,15.54,47.31
1.8to1.8,12.58,55.23,15.56,43.67
1.8to1.9,12.84,54.84,20.47,51.84
1.8to2.0,12.69,54.33,17.45,45.98
1.8to2.1,12.92,54.26,17.69,49.11
1.8to2.2,13.35,54.25,20.71,40.56
1.8to2.3,13.14,54.81,21.66,40.0
1.8to2.4,13.49,55.04,17.38,43.16
1.8to2.5,13.49,55.19,19.35,36.28
1.8to2.6,13.63,54.59,18.05,37.83
1.8to2.7,13.1,52.33,17.88,37.23
1.8to2.8,11.99,45.95,19.75,33.66
1.8to2.9,11.26,43.15,21.37,27.56
1.8to3.0,9.72,37.56,30.87,29.45
1.9to0.1,4.86,9.15,49.94,27.03
1.9to0.2,5.72,28.32,57.87,27.87
1.9to0.3,5.38,31.71,49.78,30.22
1.9to0.4,5.29,32.68,46.88,36.99
1.9to0.5,6.28,39.91,19.2,47.28
1.9to0.6,6.47,39.78,16.49,53.8
1.9to0.7,6.32,39.83,15.15,49.23
1.9to0.8,7.11,42.08,15.6,56.66
1.9to0.9,7.78,43.55,12.42,51.96
1.9to1.0,8.0,43.75,21.93,53.26
1.9to1.1,8.85,46.29,17.52,54.45
1.9to1.2,9.03,46.86,20.06,54.06
1.9to1.3,9.91,49.45,17.4,52.74
1.9to1.4,10.27,50.34,12.18,45.19
1.9to1.5,10.53,50.75,16.61,50.84
1.9to1.6,10.73,50.4,15.63,48.83
1.9to1.7,11.13,52.05,18.47,47.0
1.9to1.8,11.86,53.67,16.22,45.91
1.9to1.9,12.57,55.39,15.59,44.2
1.9to2.0,12.58,54.75,18.06,43.95
1.9to2.1,12.52,54.84,18.84,40.68
1.9to2.2,12.87,54.62,16.78,41.23
1.9to2.3,12.65,53.45,19.86,41.18
1.9to2.4,12.98,54.02,17.99,42.85
1.9to2.5,12.83,53.58,17.04,36.95
1.9to2.6,12.88,52.52,19.41,35.28
1.9to2.7,12.4,50.35,23.35,39.19
1.9to2.8,11.38,45.34,22.76,33.65
1.9to2.9,11.07,43.37,20.22,32.83
1.9to3.0,9.22,36.02,31.56,34.12
2.0to0.1,4.83,9.87,76.62,25.52
2.0to0.2,5.57,30.11,38.64,25.66
2.0to0.3,5.33,33.44,33.04,24.72
2.0to0.4,5.47,35.8,18.39,40.88
2.0to0.5,6.37,40.57,13.89,50.47
2.0to0.6,6.56,39.84,16.9,55.26
2.0to0.7,6.19,38.47,24.49,51.38
2.0to0.8,7.06,42.19,15.12,46.3
2.0to0.9,7.47,41.78,14.96,56.57
2.0to1.0,7.9,44.82,11.7,53.0
2.0to1.1,8.87,46.65,12.08,49.53
