,Sharpness,Contrast,NIQE,BRISQUE
0.4to2.0,20.05,32.15,29.28,40.12
0.4to2.1,20.95,33.32,37.62,41.81
0.4to2.2,20.17,33.82,33.38,39.35
0.4to2.3,20.53,31.84,29.17,36.0
0.4to2.4,20.51,31.89,28.98,31.9
0.4to2.5,21.3,34.25,32.6,41.92
0.4to2.6,21.3,31.39,26.6,38.27
0.4to2.7,23.26,33.85,40.4,46.33
0.4to2.8,23.03,32.96,26.71,37.08
0.4to2.9,23.27,33.35,27.23,36.34
0.4to3.0,22.68,30.93,33.64,41.49
0.5to0.1,20.53,22.97,15.69,67.38
0.5to0.2,19.91,28.74,27.93,53.86
0.5to0.3,17.68,24.91,28.67,63.69
0.5to0.4,17.4,26.83,24.5,55.26
0.5to0.5,23.17,36.47,22.54,40.76
0.5to0.6,19.51,35.43,26.41,35.64
0.5to0.7,20.99,37.97,26.74,37.11
0.5to0.8,22.41,39.91,34.8,39.97
0.5to0.9,24.11,43.97,29.48,33.99
0.5to1.0,24.04,41.99,26.09,37.68
0.5to1.1,24.9,45.07,28.77,33.76
0.5to1.2,25.25,45.92,23.08,31.95
0.5to1.3,26.24,47.3,35.65,39.72
0.5to1.4,26.32,48.39,25.38,27.83
0.5to1.5,26.96,50.02,32.7,36.28
0.5to1.6,26.19,47.44,35.35,36.67
0.5to1.7,27.68,50.76,31.86,27.44
0.5to1.8,28.5,51.55,30.8,33.11
0.5to1.9,28.51,52.71,30.82,27.36
0.5to2.0,27.45,50.91,36.72,28.6
0.5to2.1,28.72,52.28,32.15,31.98
0.5to2.2,27.45,50.1,30.56,24.66
0.5to2.3,28.08,51.64,36.66,29.16
0.5to2.4,29.04,52.1,33.74,28.91
0.5to2.5,30.14,53.37,36.25,26.05
0.5to2.6,30.4,53.79,35.76,24.52
0.5to2.7,30.83,54.15,39.73,26.02
0.5to2.8,29.62,52.39,39.12,23.89
0.5to2.9,28.46,48.98,39.18,19.78
0.5to3.0,27.89,45.93,39.31,23.45
0.6to0.1,21.3,23.96,20.16,68.54
0.6to0.2,22.62,31.34,37.54,58.48
0.6to0.3,19.17,27.53,31.11,63.22
0.6to0.4,17.55,25.96,20.25,68.69
0.6to0.5,17.95,30.51,34.08,49.54
0.6to0.6,23.97,36.61,24.17,42.86
0.6to0.7,20.05,35.87,36.61,37.47
0.6to0.8,21.44,38.13,25.31,34.87
0.6to0.9,22.41,38.39,28.67,34.57
0.6to1.0,22.51,38.18,27.59,34.81
0.6to1.1,24.54,43.4,23.75,32.86
0.6to1.2,23.56,40.73,23.05,32.46
0.6to1.3,25.83,46.64,22.64,31.35
0.6to1.4,25.87,46.89,22.48,31.96
0.6to1.5,26.4,47.04,29.23,27.82
0.6to1.6,26.83,48.73,36.06,25.13
0.6to1.7,26.58,55.37,22.62,26.23
0.6to1.8,26.26,53.23,15.91,24.25
0.6to1.9,26.59,55.44,24.14,23.14
0.6to2.0,26.46,55.57,21.46,25.44
0.6to2.1,26.63,56.62,19.5,24.06
0.6to2.2,27.63,59.12,19.69,31.81
0.6to2.3,26.41,58.41,12.63,25.86
0.6to2.4,27.1,58.61,18.81,26.67
0.6to2.5,28.24,55.54,18.5,26.41
0.6to2.6,28.08,54.06,16.98,27.51
0.6to2.7,26.32,48.08,33.04,33.29
0.6to2.8,26.33,42.93,40.72,41.5
0.6to2.9,25.33,40.04,40.65,46.23
0.6to3.0,23.17,35.75,36.05,39.86
0.7to0.1,20.12,22.49,18.46,76.02
0.7to0.2,18.41,27.92,21.16,56.62
0.7to0.3,16.84,25.09,23.4,52.25
0.7to0.4,16.56,24.61,27.98,60.62
0.7to0.5,15.4,25.31,20.43,58.91
0.7to0.6,15.52,28.28,33.59,48.7
0.7to0.7,23.13,36.64,21.15,42.04
0.7to0.8,18.6,35.56,35.28,39.38
0.7to0.9,20.12,36.86,24.15,33.62
0.7to1.0,21.14,40.08,22.16,30.83
0.7to1.1,23.35,43.56,37.65,30.22
0.7to1.2,23.73,44.71,30.84,32.46
0.7to1.3,25.14,48.27,42.32,42.81
0.7to1.4,25.9,49.1,36.77,44.77
0.7to1.5,25.53,49.58,34.76,36.93
0.7to1.6,26.77,50.93,39.4,29.31
0.7to1.7,28.25,53.9,28.44,29.06
0.7to1.8,28.85,55.78,31.39,25.28
0.7to1.9,28.77,57.14,28.91,22.97
0.7to2.0,28.54,57.12,32.2,28.67
0.7to2.1,29.47,58.17,23.59,23.79
0.7to2.2,29.33,59.03,26.9,31.79
0.7to2.3,29.16,59.81,22.25,30.18
0.7to2.4,29.93,58.11,26.64,28.47
0.7to2.5,30.58,55.13,34.64,36.21
0.7to2.6,29.97,53.87,24.65,23.59
0.7to2.7,30.07,52.06,33.05,25.86
0.7to2.8,28.97,45.0,31.4,42.82
0.7to2.9,27.1,41.34,47.88,41.01
0.7to3.0,25.71,38.23,34.5,37.22
0.8to0.1,18.45,20.64,34.22,83.51
0.8to0.2,18.17,25.48,25.32,70.9
0.8to0.3,16.64,24.04,34.16,66.34
0.8to0.4,16.42,24.12,25.31,66.89
0.8to0.5,16.15,24.7,24.75,67.95
0.8to0.6,15.3,26.79,41.34,55.28
0.8to0.7,15.26,29.07,39.97,40.58
0.8to0.8,22.85,36.78,22.2,39.28
0.8to0.9,18.08,34.1,38.17,37.07
0.8to1.0,20.1,37.28,31.81,36.94
0.8to1.1,21.97,40.23,24.49,33.65
0.8to1.2,23.09,42.54,25.46,28.74
0.8to1.3,24.82,45.33,25.46,36.86
0.8to1.4,25.45,46.13,38.5,35.22
0.8to1.5,26.53,47.8,29.72,38.56
0.8to1.6,28.42,50.93,32.65,34.17
0.8to1.7,31.03,54.98,32.31,31.37
0.8to1.8,31.23,54.96,32.71,33.93
0.8to1.9,30.96,56.67,30.08,31.91
0.8to2.0,31.19,55.01,27.0,28.6
0.8to2.1,31.84,57.83,25.14,34.06
0.8to2.2,32.27,59.19,36.77,27.32
0.8to2.3,32.36,59.74,32.72,26.84
0.8to2.4,33.41,59.3,36.67,27.96
0.8to2.5,33.92,56.81,31.27,34.87
0.8to2.6,34.01,55.39,30.44,40.68
0.8to2.7,34.62,53.69,29.5,47.26
0.8to2.8,30.96,46.48,31.48,47.61
0.8to2.9,29.07,42.47,35.18,44.19
0.8to3.0,28.48,39.43,36.0,41.64
0.9to0.1,18.31,20.37,24.5,79.01
0.9to0.2,18.99,24.15,36.91,68.78
0.9to0.3,16.89,22.46,44.28,68.93
0.9to0.4,15.96,21.3,27.34,73.32
0.9to0.5,15.91,23.65,18.6,69.36
0.9to0.6,14.85,26.13,37.48,53.73
0.9to0.7,15.17,27.99,30.35,49.74
0.9to0.8,14.94,29.55,24.14,38.52
0.9to0.9,22.79,36.74,22.78,43.05
0.9to1.0,19.37,35.66,33.43,32.45
0.9to1.1,22.3,38.89,33.23,41.01
0.9to1.2,21.8,39.99,36.44,31.45
0.9to1.3,24.1,42.88,29.94,30.42
0.9to1.4,24.66,44.47,24.78,30.85
0.9to1.5,25.7,45.31,26.22,33.28
0.9to1.6,27.8,48.29,26.8,28.63
0.9to1.7,30.16,52.04,41.45,27.09
0.9to1.8,30.56,52.54,36.9,31.6
0.9to1.9,31.17,55.04,28.05,31.47
0.9to2.0,30.89,54.74,28.4,29.49
0.9to2.1,31.61,55.56,35.37,28.23
0.9to2.2,32.86,57.66,23.74,27.72
0.9to2.3,32.03,57.76,30.66,26.18
0.9to2.4,32.97,57.27,33.43,25.28
0.9to2.5,34.81,56.27,35.03,40.18
0.9to2.6,34.41,55.09,37.24,39.4
0.9to2.7,33.43,52.09,40.35,42.64
0.9to2.8,31.7,45.42,30.13,47.23
0.9to2.9,29.76,41.59,50.93,57.26
0.9to3.0,25.85,36.31,37.54,50.43
1.0to0.1,18.96,21.08,39.12,83.68
1.0to0.2,18.01,22.7,38.72,72.21
1.0to0.3,15.78,21.0,51.39,75.16
1.0to0.4,15.63,21.76,31.03,68.89
1.0to0.5,14.95,22.53,32.46,68.61
1.0to0.6,14.78,24.46,28.18,63.59
1.0to0.7,14.32,26.09,32.92,54.01
1.0to0.8,14.67,28.39,44.68,44.02
1.0to0.9,15.9,30.59,34.34,35.16
1.0to1.0,23.24,37.36,21.42,42.07
1.0to1.1,19.89,36.79,35.16,33.09
1.0to1.2,20.9,38.19,33.04,34.86
1.0to1.3,22.39,40.5,28.27,33.88
1.0to1.4,23.85,42.46,33.54,36.65
1.0to1.5,25.16,44.34,33.59,36.72
1.0to1.6,26.74,46.44,33.8,40.08
1.0to1.7,29.99,50.21,34.76,44.3
1.0to1.8,30.84,51.23,45.84,41.67
1.0to1.9,30.6,52.67,42.87,40.56
1.0to2.0,31.42,53.08,46.03,49.14
1.0to2.1,32.3,55.26,37.02,35.55
1.0to2.2,32.69,55.7,35.06,27.06
1.0to2.3,33.38,55.95,31.93,34.86
1.0to2.4,33.31,55.29,37.08,35.72
1.0to2.5,35.22,54.95,41.56,44.72
1.0to2.6,35.58,53.59,41.06,45.59
1.0to2.7,34.08,50.94,37.63,42.61
1.0to2.8,30.16,43.13,47.05,56.27
1.0to2.9,29.25,40.72,46.02,57.26
1.0to3.0,27.53,36.4,44.59,54.66
1.1to0.1,18.6,20.37,27.97,85.79
1.1to0.2,16.81,20.41,35.99,87.17
1.1to0.3,15.08,19.88,49.1,84.6
1.1to0.4,14.96,20.83,38.35,75.71
1.1to0.5,14.46,22.19,33.7,73.6
1.1to0.6,14.53,24.13,44.1,63.91
1.1to0.7,14.41,24.65,41.53,58.75
1.1to0.8,14.58,26.78,37.99,49.86
1.1to0.9,14.96,28.36,37.39,42.88
1.1to1.0,15.93,31.05,31.05,36.7
1.1to1.1,22.88,37.64,21.65,39.27
1.1to1.2,19.32,36.04,41.61,33.9
1.1to1.3,21.72,39.1,43.96,27.96
1.1to1.4,23.58,41.01,51.96,34.21
1.1to1.5,24.82,42.87,48.18,33.8
1.1to1.6,26.52,45.34,49.45,34.58
1.1to1.7,28.94,48.62,53.02,36.8
1.1to1.8,29.72,49.66,40.05,36.44
1.1to1.9,30.62,51.74,40.43,37.68
1.1to2.0,31.86,52.54,36.58,40.32
1.1to2.1,32.4,53.68,31.98,39.0
1.1to2.2,32.44,54.71,38.86,38.36
1.1to2.3,32.54,54.92,36.52,35.31
1.1to2.4,34.32,55.48,25.79,47.43
1.1to2.5,34.16,53.03,36.29,47.0
1.1to2.6,34.94,52.51,45.67,49.14
1.1to2.7,33.58,49.25,56.09,54.04
1.1to2.8,29.85,42.46,52.62,60.19
1.1to2.9,27.57,38.14,49.61,58.13
1.1to3.0,25.67,33.86,44.64,60.1
1.2to0.1,17.51,19.28,29.66,82.61
1.2to0.2,16.46,19.75,40.72,79.82
1.2to0.3,14.8,19.32,41.67,86.64
1.2to0.4,14.64,20.23,41.52,77.85
1.2to0.5,14.05,21.53,36.04,74.55
1.2to0.6,13.47,22.81,40.1,64.69
1.2to0.7,13.44,23.91,35.94,60.28
1.2to0.8,13.62,25.84,41.55,52.54
1.2to0.9,13.77,27.35,42.19,45.21
1.2to1.0,14.95,29.76,37.81,41.44
1.2to1.1,16.76,32.74,23.27,39.44
1.2to1.2,23.1,37.56,20.96,39.01
1.2to1.3,19.49,36.88,45.85,24.84
1.2to1.4,21.47,38.71,50.43,23.95
1.2to1.5,23.25,40.98,56.22,24.25
1.2to1.6,25.78,43.23,40.45,32.71
1.2to1.7,27.52,46.1,39.2,36.13
1.2to1.8,28.19,46.74,49.33,34.2
1.2to1.9,29.58,49.16,54.68,37.05
1.2to2.0,30.68,50.43,56.22,38.77
1.2to2.1,31.32,51.6,50.25,38.14
1.2to2.2,31.77,53.13,39.09,37.34
1.2to2.3,31.78,53.07,34.62,40.32
1.2to2.4,32.82,53.14,38.04,42.32
1.2to2.5,33.62,51.16,30.14,51.04
1.2to2.6,33.74,50.06,33.08,52.83
1.2to2.7,32.06,46.99,53.09,61.08
1.2to2.8,28.59,40.58,52.51,59.96
1.2to2.9,26.55,36.27,40.39,62.24
1.2to3.0,23.87,31.89,39.02,60.8
1.3to0.1,17.07,18.81,33.94,84.76
1.3to0.2,15.91,18.53,37.68,83.68
1.3to0.3,14.44,18.43,33.86,80.53
1.3to0.4,13.49,19.18,34.98,80.29
1.3to0.5,13.4,20.83,41.84,75.01
1.3to0.6,12.57,21.57,30.89,68.11
1.3to0.7,12.69,22.32,32.06,62.99
1.3to0.8,12.72,24.04,34.77,54.67
1.3to0.9,12.79,25.16,45.08,50.97
1.3to1.0,13.43,27.22,35.06,44.65
1.3to1.1,15.08,30.43,39.57,42.88
1.3to1.2,15.63,31.65,29.62,35.81
1.3to1.3,22.78,37.6,23.19,36.4
1.3to1.4,19.29,35.8,46.06,27.67
1.3to1.5,21.28,38.01,49.59,27.23
1.3to1.6,23.75,40.81,50.86,26.6
1.3to1.7,26.18,43.81,49.07,32.83
1.3to1.8,27.42,44.77,47.05,32.78
1.3to1.9,28.86,47.16,56.66,35.05
1.3to2.0,29.55,47.86,56.86,35.09
1.3to2.1,30.51,49.36,55.94,38.18
1.3to2.2,32.31,51.97,47.43,40.0
1.3to2.3,32.17,51.48,44.63,42.93
1.3to2.4,32.71,51.35,45.33,43.92
1.3to2.5,32.61,48.82,49.64,51.88
1.3to2.6,32.81,48.32,47.6,59.37
1.3to2.7,32.41,46.31,47.27,62.49
1.3to2.8,29.58,40.51,41.46,66.31
1.3to2.9,26.3,35.59,38.55,63.81
1.3to3.0,23.35,31.07,31.67,63.36
1.4to0.1,16.3,18.01,42.22,84.3
1.4to0.2,15.51,18.22,38.37,86.42
1.4to0.3,13.56,17.66,35.43,80.84
1.4to0.4,13.3,18.74,40.41,73.43
1.4to0.5,12.57,20.22,33.06,71.71
1.4to0.6,11.84,21.32,33.81,65.56
1.4to0.7,11.86,21.98,36.62,62.98
1.4to0.8,11.99,23.68,37.93,59.43
1.4to0.9,12.09,25.2,46.3,51.06
1.4to1.0,12.7,26.84,37.15,46.46
1.4to1.1,13.99,29.31,26.46,44.84
1.4to1.2,14.36,30.52,26.85,35.48
1.4to1.3,16.18,33.32,28.41,31.13
1.4to1.4,22.86,37.65,22.4,37.41
1.4to1.5,19.61,36.47,49.73,24.15
1.4to1.6,21.72,38.57,44.21,29.22
1.4to1.7,24.33,41.76,47.29,28.85
1.4to1.8,25.48,42.68,50.93,30.38
1.4to1.9,26.93,45.43,49.04,30.27
1.4to2.0,28.17,46.13,48.35,33.69
1.4to2.1,29.21,47.61,50.48,35.59
1.4to2.2,30.11,49.38,51.33,36.32
1.4to2.3,30.73,49.89,43.78,39.78
1.4to2.4,31.25,49.7,48.79,42.16
1.4to2.5,30.06,46.43,51.94,47.19
1.4to2.6,30.21,45.63,43.28,51.58
1.4to2.7,30.71,44.09,44.73,59.34
1.4to2.8,26.47,37.68,42.02,55.61
1.4to2.9,24.14,33.62,29.64,61.67
1.4to3.0,23.24,30.52,23.8,60.68
1.5to0.1,15.54,17.2,39.17,83.05
1.5to0.2,14.16,17.11,54.04,79.03
1.5to0.3,13.09,17.2,42.45,76.37
1.5to0.4,12.74,18.3,51.42,75.77
1.5to0.5,11.76,19.46,46.33,71.11
1.5to0.6,10.99,20.32,54.16,69.01
1.5to0.7,11.2,21.18,39.84,65.46
1.5to0.8,11.2,22.58,35.86,58.11
1.5to0.9,11.72,24.17,44.89,52.28
1.5to1.0,12.04,25.7,33.08,42.1
1.5to1.1,12.97,28.14,33.24,43.8
1.5to1.2,13.89,29.65,23.29,39.46
1.5to1.3,15.03,31.92,30.58,34.9
1.5to1.4,16.47,32.99,37.38,23.23
1.5to1.5,22.98,37.83,23.45,36.14
1.5to1.6,20.42,37.04,45.03,22.59
1.5to1.7,22.92,39.95,43.18,29.38
1.5to1.8,24.22,40.98,39.69,25.66
1.5to1.9,26.17,43.56,56.77,30.58
1.5to2.0,26.95,44.74,59.3,32.15
1.5to2.1,28.01,45.85,57.76,38.29
1.5to2.2,29.57,47.88,55.9,34.04
1.5to2.3,30.26,48.23,55.54,39.34
1.5to2.4,30.86,47.97,50.9,46.05
1.5to2.5,29.5,45.23,49.4,52.35
1.5to2.6,30.23,45.03,47.95,53.08
1.5to2.7,29.0,42.27,44.6,61.59
1.5to2.8,26.91,37.38,35.91,59.13
1.5to2.9,24.64,33.59,33.74,63.16
1.5to3.0,22.32,29.6,22.04,66.88
1.6to0.1,15.25,16.97,38.1,84.63
1.6to0.2,13.38,16.35,67.25,74.94
1.6to0.3,12.41,16.6,61.21,77.23
1.6to0.4,11.72,17.53,39.24,73.38
1.6to0.5,10.93,18.56,36.38,68.51
1.6to0.6,10.3,19.6,27.2,66.65
1.6to0.7,14.61,23.82,41.44,62.9
1.6to0.8,15.18,25.51,37.01,58.6
1.6to0.9,15.22,26.33,28.48,51.7
1.6to1.0,15.02,26.61,34.56,50.84
1.6to1.1,15.41,28.21,54.68,48.21
1.6to1.2,15.74,28.88,45.95,47.42
1.6to1.3,16.26,30.39,24.37,40.75
1.6to1.4,17.16,31.23,36.54,36.89
1.6to1.5,18.23,32.1,28.3,34.91
1.6to1.6,23.49,36.44,18.97,38.62
1.6to1.7,21.27,35.69,37.33,32.16
1.6to1.8,22.31,36.96,38.82,32.38
1.6to1.9,23.18,38.61,43.32,25.16
1.6to2.0,23.83,38.45,39.22,29.83
1.6to2.1,24.6,39.36,44.06,33.97
1.6to2.2,25.67,40.24,41.69,30.92
1.6to2.3,25.78,39.58,42.35,36.72
1.6to2.4,27.65,42.06,47.93,35.07
1.6to2.5,28.76,42.69,44.11,37.51
1.6to2.6,30.18,43.04,41.91,39.05
1.6to2.7,29.53,41.98,38.2,38.19
1.6to2.8,30.38,41.42,43.63,48.89
1.6to2.9,29.91,40.44,44.45,51.63
1.6to3.0,25.54,34.46,34.23,55.96
1.7to0.1,17.67,19.61,32.45,82.28
1.7to0.2,17.21,22.9,43.89,71.64
1.7to0.3,16.07,21.22,29.16,84.19
1.7to0.4,15.42,21.38,36.72,79.77
1.7to0.5,15.13,22.18,41.06,74.79
1.7to0.6,14.79,23.17,34.46,64.47
1.7to0.7,14.38,23.17,42.14,65.94
1.7to0.8,14.53,24.71,42.48,53.73
1.7to0.9,14.95,25.36,34.49,52.15
1.7to1.0,14.95,25.66,29.49,52.61
1.7to1.1,15.4,27.4,44.46,44.83
1.7to1.2,15.79,28.05,35.25,46.33
1.7to1.3,16.8,30.28,28.34,41.81
1.7to1.4,17.03,30.55,28.97,39.41
1.7to1.5,17.92,31.73,28.66,37.86
1.7to1.6,18.52,32.38,29.45,32.39
1.7to1.7,23.67,36.76,18.96,36.24
1.7to1.8,20.66,35.66,39.7,25.93
1.7to1.9,22.11,36.77,37.24,29.08
1.7to2.0,23.22,37.22,39.86,28.51
1.7to2.1,23.55,37.33,42.73,27.43
1.7to2.2,24.43,38.63,41.34,32.47
1.7to2.3,25.25,38.78,44.08,32.41
1.7to2.4,26.45,39.96,39.68,32.04
1.7to2.5,27.51,41.64,43.99,37.39
1.7to2.6,29.18,42.22,44.82,35.55
1.7to2.7,29.1,41.44,47.83,39.44
1.7to2.8,28.33,38.87,40.9,48.93
1.7to2.9,26.59,37.0,41.05,47.66
1.7to3.0,25.43,33.94,26.46,58.12
1.8to0.1,16.85,19.07,36.8,82.32
1.8to0.2,16.74,21.83,51.52,74.17
1.8to0.3,15.41,21.08,50.28,80.26
1.8to0.4,14.4,21.19,39.04,77.97
1.8to0.5,14.65,22.26,35.35,72.65
1.8to0.6,13.69,22.87,60.88,67.98
1.8to0.7,14.05,22.7,48.32,66.43
1.8to0.8,13.76,24.04,28.45,57.99
1.8to0.9,14.06,24.34,33.29,50.55
1.8to1.0,14.23,25.4,45.1,46.44
1.8to1.1,14.46,26.48,37.99,42.35
1.8to1.2,14.84,27.23,37.02,43.66
1.8to1.3,15.21,28.51,33.21,40.59
1.8to1.4,16.29,29.69,32.88,37.68
1.8to1.5,16.61,30.62,19.28,40.19
1.8to1.6,17.08,30.71,28.55,32.06
1.8to1.7,17.44,31.57,32.91,26.64
1.8to1.8,23.18,36.85,22.6,34.92
1.8to1.9,20.24,34.63,34.23,27.47
1.8to2.0,21.3,35.07,31.31,35.58
1.8to2.1,21.67,35.45,31.15,32.67
1.8to2.2,23.26,36.6,42.51,31.14
1.8to2.3,23.57,37.11,41.67,28.32
1.8to2.4,24.48,37.89,42.5,31.47
1.8to2.5,26.76,40.07,42.91,36.53
1.8to2.6,28.13,41.01,45.08,36.33
1.8to2.7,27.48,39.99,41.12,37.13
1.8to2.8,26.65,37.15,42.47,44.39
1.8to2.9,26.55,36.64,38.36,52.34
1.8to3.0,24.22,32.99,28.21,54.46
1.9to0.1,16.56,18.41,33.94,81.74
1.9to0.2,15.64,20.07,56.46,77.33
1.9to0.3,14.76,20.28,45.15,86.07
1.9to0.4,13.42,20.28,36.15,76.82
1.9to0.5,13.81,22.87,45.05,70.28
1.9to0.6,12.53,22.16,52.2,62.71
1.9to0.7,12.7,22.1,41.9,65.1
1.9to0.8,12.28,23.29,38.67,55.09
1.9to0.9,12.64,24.34,49.67,48.53
1.9to1.0,12.63,24.57,32.41,43.66
1.9to1.1,13.13,26.11,34.47,43.4
1.9to1.2,13.28,26.37,33.01,45.07
1.9to1.3,14.54,28.31,22.55,38.0
1.9to1.4,14.69,28.47,19.71,37.23
1.9to1.5,15.14,29.15,20.9,40.08
1.9to1.6,15.08,28.95,23.14,31.64
1.9to1.7,16.36,30.75,24.86,32.25
1.9to1.8,17.75,32.31,36.03,26.71
1.9to1.9,23.51,36.85,20.26,36.36
1.9to2.0,19.66,34.2,48.93,19.73
1.9to2.1,20.23,34.44,36.95,21.66
1.9to2.2,21.21,35.52,40.47,19.48
1.9to2.3,21.77,34.97,43.28,24.03
1.9to2.4,22.69,36.21,41.0,27.04
1.9to2.5,25.02,38.08,38.54,34.94
1.9to2.6,25.87,38.47,39.89,34.87
1.9to2.7,25.61,37.63,45.45,34.32
1.9to2.8,25.57,36.1,39.25,44.19
1.9to2.9,25.05,35.21,37.08,46.59
1.9to3.0,22.55,31.06,30.61,55.86
2.0to0.1,16.02,17.96,32.83,82.42
2.0to0.2,15.73,20.59,24.0,79.58
2.0to0.3,14.3,20.22,35.71,83.93
2.0to0.4,12.97,21.02,35.73,75.37
2.0to0.5,13.04,22.62,31.33,67.86
2.0to0.6,12.18,21.9,52.79,61.84
2.0to0.7,11.98,21.39,45.97,63.37
2.0to0.8,11.97,23.04,36.6,53.59
2.0to0.9,12.21,23.33,40.4,46.79
2.0to1.0,11.85,24.37,46.53,51.05
2.0to1.1,13.17,26.17,37.44,48.67
