,Sharpness,Contrast,NIQE,BRISQUE
0.1to0.1,22.88,37.56,20.7,36.9
0.1to0.2,8.03,18.44,17.33,27.92
0.1to0.3,7.88,18.14,18.27,27.16
0.1to0.4,7.8,17.84,23.93,29.37
0.1to0.5,7.85,18.71,21.68,31.07
0.1to0.6,7.99,18.75,16.86,32.79
0.1to0.7,7.91,17.98,16.24,33.44
0.1to0.8,7.46,16.25,21.45,34.76
0.1to0.9,7.68,16.59,15.51,38.65
0.1to1.0,7.27,15.66,31.07,35.37
0.1to1.1,6.74,14.66,19.04,34.3
0.1to1.2,6.72,13.91,14.32,33.83
0.1to1.3,6.52,13.45,16.82,30.53
0.1to1.4,6.03,11.55,17.36,32.45
0.1to1.5,6.09,11.8,19.04,28.33
0.1to1.6,5.83,10.09,16.82,31.03
0.1to1.7,5.55,8.83,18.01,31.9
0.1to1.8,5.34,8.88,16.42,31.08
0.1to1.9,5.3,8.18,25.31,29.56
0.1to2.0,5.11,7.53,14.56,29.61
0.1to2.1,5.11,7.62,25.94,28.65
0.1to2.2,4.97,7.06,22.32,28.56
0.1to2.3,5.12,7.27,31.35,28.25
0.1to2.4,5.01,7.19,19.58,27.59
0.1to2.5,5.42,7.88,15.04,34.1
0.1to2.6,5.6,8.82,16.43,30.43
0.1to2.7,5.92,9.36,15.56,33.33
0.1to2.8,5.96,9.66,26.55,31.33
0.1to2.9,6.59,11.32,22.24,34.59
0.1to3.0,6.72,11.6,16.26,32.62
0.2to0.1,13.35,17.78,33.84,53.08
0.2to0.2,23.41,37.29,20.88,39.91
0.2to0.3,12.45,25.79,17.11,37.31
0.2to0.4,13.58,26.83,25.85,35.53
0.2to0.5,12.71,22.7,19.07,36.83
0.2to0.6,12.57,22.63,18.17,32.38
0.2to0.7,12.58,20.36,23.79,48.68
0.2to0.8,12.45,20.1,29.47,49.5
0.2to0.9,12.76,20.22,29.48,48.24
0.2to1.0,12.0,17.72,27.19,47.77
0.2to1.1,12.14,18.71,28.36,51.42
0.2to1.2,11.83,18.42,34.11,50.22
0.2to1.3,12.07,18.05,25.15,50.39
0.2to1.4,11.85,18.13,24.82,48.93
0.2to1.5,12.34,19.95,29.44,52.53
0.2to1.6,12.06,18.75,25.74,52.69
0.2to1.7,13.29,21.23,19.09,53.03
0.2to1.8,13.06,21.66,24.93,48.95
0.2to1.9,14.0,22.85,20.33,51.33
0.2to2.0,13.65,22.61,17.99,45.13
0.2to2.1,13.82,23.19,22.2,42.99
0.2to2.2,13.74,23.45,27.04,51.28
0.2to2.3,14.58,24.37,21.2,50.72
0.2to2.4,14.4,24.19,17.52,43.8
0.2to2.5,15.02,25.91,20.23,47.2
0.2to2.6,15.15,25.2,21.24,38.07
0.2to2.7,14.84,23.66,21.1,38.03
0.2to2.8,15.09,24.5,19.87,40.46
0.2to2.9,14.73,22.26,25.16,33.07
0.2to3.0,13.92,18.88,17.93,32.96
0.3to0.1,17.89,21.2,27.64,57.95
0.3to0.2,15.69,26.12,27.95,44.77
0.3to0.3,23.15,36.94,21.49,37.03
0.3to0.4,18.96,37.95,31.58,34.09
0.3to0.5,20.34,39.66,24.16,34.51
0.3to0.6,19.67,36.51,29.33,46.6
0.3to0.7,18.76,33.88,35.41,50.21
0.3to0.8,19.33,33.45,30.34,49.48
0.3to0.9,20.38,35.54,26.27,42.73
0.3to1.0,18.94,33.06,31.66,38.65
0.3to1.1,19.14,33.25,31.29,37.18
0.3to1.2,18.97,31.87,36.97,35.37
0.3to1.3,19.49,32.61,38.23,34.52
0.3to1.4,19.26,33.44,28.43,39.76
0.3to1.5,18.49,32.07,30.2,33.74
0.3to1.6,18.77,30.89,32.17,32.63
0.3to1.7,18.18,30.99,32.65,32.56
0.3to1.8,18.62,30.3,37.2,26.72
0.3to1.9,17.4,29.41,28.66,31.52
0.3to2.0,17.15,28.04,34.94,28.46
0.3to2.1,18.55,29.39,38.74,34.47
0.3to2.2,17.11,28.22,38.77,36.35
0.3to2.3,17.02,29.5,21.83,30.83
0.3to2.4,17.58,28.9,30.44,31.17
0.3to2.5,17.72,29.89,28.39,30.48
0.3to2.6,17.42,27.05,27.94,30.48
0.3to2.7,17.91,29.27,35.13,30.64
0.3to2.8,17.94,28.07,31.06,27.72
0.3to2.9,18.34,26.66,34.04,31.71
0.3to3.0,18.26,25.07,38.09,41.48
0.4to0.1,20.83,24.22,23.7,62.95
0.4to0.2,17.91,26.42,28.46,55.16
0.4to0.3,15.9,24.87,25.85,49.54
0.4to0.4,23.16,36.61,20.98,40.25
0.4to0.5,19.05,35.57,23.16,38.7
0.4to0.6,18.83,32.85,24.85,50.62
0.4to0.7,18.76,33.15,28.64,48.53
0.4to0.8,18.91,30.68,33.83,50.87
0.4to0.9,19.74,32.51,33.94,51.29
0.4to1.0,20.46,33.08,38.72,49.55
0.4to1.1,20.62,34.66,49.83,38.01
0.4to1.2,19.31,29.28,30.51,59.01
0.4to1.3,21.07,35.13,52.08,41.47
0.4to1.4,20.73,35.08,42.85,41.12
0.4to1.5,20.6,32.84,35.39,47.17
0.4to1.6,21.12,33.56,45.46,39.7
0.4to1.7,20.97,31.27,43.23,54.53
0.4to1.8,19.9,33.79,35.94,37.37
0.4to1.9,19.97,30.43,29.24,41.76
